Ss0	Guild	Genus
2454	Saprotroph	Cladosporium
28	Yeast	Filobasidium
7867	Saprotroph	Albifimbria
12	Saprotroph	Aspergillus
0	Saprotroph	Phaeosphaeriopsis
4	Saprotroph	Paecilomyces
0	Saprotroph	Mortierella
0	Plant pathogen	Ganoderma
3	Plant pathogen	Veronaea
0	Plant pathogen	Eocronartium
37	Plant pathogen	Monographella
9	Saprotroph	Pyrenochaeta
4857	Saprotroph	Aspergillus
0	Unidentified & others	Pleurophoma
0	Unidentified & others	_
0	Plant pathogen	Alternaria
0	Arbuscular mycorrhizal	_
0	Saprotroph	Exidia
33	Saprotroph	Chaetomium
2	Unidentified & others	Abrothallus
1	Plant pathogen	Spizellomyces
26	Endophyte	Acremonium
0	Saprotroph	Geomyces
677	Saprotroph	Uncinocarpus
46	Saprotroph	Scytalidium
126	Saprotroph	Xylaria
1	Saprotroph	Coprinellus
1	Unidentified & others	_
7	Saprotroph	Syncephalis
14	Unidentified & others	Myceliophthora
0	Yeast	Wickerhamomyces
0	Unidentified & others	Leptospora
0	Saprotroph	Wallemia
19	Saprotroph	Entoloma
0	Saprotroph	Preussia
1	Saprotroph	Geniculifera
0	Plant pathogen	Spizellomyces
31	Saprotroph	Chaetomium
0	Endophyte	Septorioides
0	Yeast	_
1	Saprotroph	Wallemia
19	Saprotroph	Byssochlamys
0	Plant pathogen	Angulomyces
3249	Saprotroph	Geomyces
2	Unidentified & others	_
0	Yeast	Candida
1	Saprotroph	Penicillium
7	Unidentified & others	_
0	Saprotroph	Aspergillus
0	Saprotroph	Sporormiella
0	Unidentified & others	_
0	Saprotroph	Mucor
0	Saprotroph	Mucor
1417	Saprotroph	Aspergillus
0	Endophyte	Sporothrix
0	Yeast	Quambalaria
0	Plant pathogen	Alternaria
0	Plant pathogen	Fusarium
0	Yeast	Bulleromyces
0	Saprotroph	Ischnoderma
0	Unidentified & others	Vermispora
0	Plant pathogen	Spizellomyces
2639	Endophyte	Podospora
819	Saprotroph	Cladorrhinum
0	Saprotroph	Bisporella
0	Arbuscular mycorrhizal	_
0	Plant pathogen	Rhizophydium
3	Arbuscular mycorrhizal	_
0	Yeast	Malassezia
0	Arbuscular mycorrhizal	Glomus
33	Saprotroph	Trichophyton
1648	Plant pathogen	Waitea
0	Arbuscular mycorrhizal	Paraglomus
14	Saprotroph	Paraconiothyrium
0	Saprotroph	Lichtheimia
4	Unidentified & others	_
20	Unidentified & others	Oedocephalum
0	Plant pathogen	Tilletia
9	Saprotroph	Coprinellus
6	Endophyte	Acremonium
0	Unidentified & others	Simplicillium
0	Saprotroph	Wallemia
0	Saprotroph	Comoclathris
0	Yeast	Cryptococcus
0	Saprotroph	Septoriella
574	Saprotroph	Geosmithia
0	Saprotroph	Chalara
0	Yeast	Sporobolomyces
0	Yeast	Candida
0	Yeast	_
0	Yeast	Bullera
0	Unidentified & others	_
13	Unidentified & others	Septoriella
567	Plant pathogen	Epicoccum
513	Saprotroph	Myrmecridium
0	Arbuscular mycorrhizal	_
0	Arbuscular mycorrhizal	_
9	Saprotroph	Preussia
0	Unidentified & others	Hydnobolites
4587	Saprotroph	Chrysosporium
0	Yeast	Debaryomyces
24	Saprotroph	Coprinopsis
0	Saprotroph	Scytalidium
0	Unidentified & others	_
1811	Plant pathogen	Curvularia
21	Saprotroph	Tulostoma
0	Saprotroph	Mortierella
0	Plant pathogen	Alternaria
7	Saprotroph	Agrocybe
8	Unidentified & others	Beauveria
310	Saprotroph	Petriella
0	Yeast	Hannaella
0	Plant pathogen	Sarocladium
0	Yeast	Dioszegia
0	Saprotroph	Coprinellus
0	Plant pathogen	Ascochyta
0	Saprotroph	Eupenicillium
7	Saprotroph	Peziza
0	Saprotroph	Chalara
4451	Saprotroph	Mortierella
6	Saprotroph	Penicillium
4	Unidentified & others	Hyphozyma
5	Saprotroph	Mucor
0	Saprotroph	Mortierella
0	Endophyte	Acremonium
0	Unidentified & others	Letendraea
17	Saprotroph	Bovista
4	Yeast	Lipomyces
13	Saprotroph	Agaricus
49	Saprotroph	Coprinellus
0	Plant pathogen	Triparticalcar 
0	Saprotroph	Mortierella
1	Saprotroph	Pholiota
1	Unidentified & others	Wettsteinina
2	Saprotroph	Cercophora
0	Plant pathogen	Magnaporthiopsis
0	Saprotroph	Volvariella
2	Yeast	Anthracocystis
6	Plant pathogen	Coniosporium
0	Plant pathogen	Fusarium
4	Saprotroph	Penicillium
2	Saprotroph	Paecilomyces
0	Plant pathogen	Dothiorella
0	Yeast	Blastobotrys
0	Yeast	Capronia
2033	Saprotroph	Spororminula
0	Saprotroph	Dothiora
0	Plant pathogen	Melampsora
1	Plant pathogen	Pyrenophora
0	Saprotroph	Mycothermus
