sorghum	Guild	Genus
5826487	Endophyte	Cladosporium
543574	Yeast	Filobasidium
38631	Saprotroph	Albifimbria
85	Saprotroph	Aspergillus
33	Saprotroph	Phaeosphaeriopsis
65	Saprotroph	Paecilomyces
178	Saprotroph	Mortierella
38	Plant pathogen	Ganoderma
97	Plant pathogen	Veronaea
47	Plant pathogen	Eocronartium
105	Plant pathogen	Monographella
97	Saprotroph	Pyrenochaeta
43234	Saprotroph	Aspergillus
48	Unidentified & others	Pleurophoma
67	Unidentified & others	_
8	Plant pathogen	Alternaria
11	Arbuscular mycorrhizal	_
1176	Saprotroph	Exidia
239	Saprotroph	Chaetomium
117	Unidentified & others	Abrothallus
25	Plant pathogen	Spizellomyces
153	Endophyte	Acremonium
17	Saprotroph	Geomyces
20890	Saprotroph	Uncinocarpus
354	Saprotroph	Scytalidium
8084	Saprotroph	Xylaria
19	Saprotroph	Coprinellus
117	Unidentified & others	_
148	Saprotroph	Syncephalis
114	Unidentified & others	Myceliophthora
72	Yeast	Wickerhamomyces
6	Unidentified & others	Leptospora
7000	Saprotroph	Wallemia
642	Saprotroph	Entoloma
44	Saprotroph	Preussia
120	Saprotroph	Geniculifera
82	Plant pathogen	Spizellomyces
190	Saprotroph	Chaetomium
24	Endophyte	Septorioides
88	Yeast	_
95	Saprotroph	Wallemia
112	Saprotroph	Byssochlamys
24	Plant pathogen	Angulomyces
23754	Saprotroph	Geomyces
30	Unidentified & others	_
44	Yeast	Candida
534	Saprotroph	Penicillium
23	Unidentified & others	_
64	Saprotroph	Aspergillus
55	Saprotroph	Sporormiella
359	Unidentified & others	_
96	Saprotroph	Mucor
182	Saprotroph	Mucor
50221	Saprotroph	Aspergillus
11	Endophyte	Sporothrix
116	Yeast	Quambalaria
78	Plant pathogen	Alternaria
49	Plant pathogen	Fusarium
111	Yeast	Bulleromyces
7	Saprotroph	Ischnoderma
3	Unidentified & others	Vermispora
143	Plant pathogen	Spizellomyces
145338	Endophyte	Podospora
6213	Saprotroph	Cladorrhinum
13	Saprotroph	Bisporella
91	Arbuscular mycorrhizal	_
3	Plant pathogen	Rhizophydium
92	Arbuscular mycorrhizal	_
180	Yeast	Malassezia
197	Arbuscular mycorrhizal	Glomus
160	Saprotroph	Trichophyton
30328	Plant pathogen	Waitea
81	Arbuscular mycorrhizal	Paraglomus
142	Saprotroph	Paraconiothyrium
22	Saprotroph	Lichtheimia
65	Unidentified & others	_
90	Unidentified & others	Oedocephalum
24	Plant pathogen	Tilletia
16095	Saprotroph	Coprinellus
943	Endophyte	Acremonium
98	Unidentified & others	Simplicillium
370	Saprotroph	Wallemia
23	Saprotroph	Comoclathris
7	Yeast	Cryptococcus
304	Saprotroph	Septoriella
82642	Saprotroph	Geosmithia
31	Saprotroph	Chalara
19	Yeast	Sporobolomyces
27	Yeast	Candida
37	Yeast	_
120	Yeast	Bullera
348	Unidentified & others	_
103	Unidentified & others	Septoriella
306042	Plant pathogen	Epicoccum
15385	Saprotroph	Myrmecridium
28	Arbuscular mycorrhizal	_
70	Arbuscular mycorrhizal	_
46	Saprotroph	Preussia
29	Unidentified & others	Hydnobolites
22374	Saprotroph	Chrysosporium
76	Yeast	Debaryomyces
242	Saprotroph	Coprinopsis
29	Saprotroph	Scytalidium
92	Unidentified & others	_
16311	Plant pathogen	Curvularia
128	Saprotroph	Tulostoma
52	Saprotroph	Mortierella
30	Plant pathogen	Alternaria
146	Saprotroph	Agrocybe
1494	Unidentified & others	Beauveria
4672	Saprotroph	Petriella
32	Yeast	Hannaella
186	Plant pathogen	Sarocladium
31	Yeast	Dioszegia
66	Saprotroph	Coprinellus
58	Plant pathogen	Ascochyta
44	Saprotroph	Eupenicillium
66	Saprotroph	Peziza
33	Saprotroph	Chalara
41240	Saprotroph	Mortierella
50	Saprotroph	Penicillium
19	Unidentified & others	Hyphozyma
82	Saprotroph	Mucor
47	Saprotroph	Mortierella
176	Endophyte	Acremonium
25	Unidentified & others	Letendraea
104	Saprotroph	Bovista
52	Yeast	Lipomyces
131	Saprotroph	Agaricus
5462	Saprotroph	Coprinellus
7	Plant pathogen	Triparticalcar 
94	Saprotroph	Mortierella
182	Saprotroph	Pholiota
39	Unidentified & others	Wettsteinina
113	Saprotroph	Cercophora
399	Plant pathogen	Magnaporthiopsis
27	Saprotroph	Volvariella
19676	Yeast	Anthracocystis
37	Plant pathogen	Coniosporium
80	Plant pathogen	Fusarium
509	Saprotroph	Penicillium
21	Saprotroph	Paecilomyces
38	Plant pathogen	Dothiorella
57	Yeast	Blastobotrys
8	Yeast	Capronia
16382	Saprotroph	Spororminula
34	Saprotroph	Dothiora
31	Plant pathogen	Melampsora
52	Plant pathogen	Pyrenophora
3	Saprotroph	Mycothermus
13	Plant pathogen	Spizellomyces
32	Saprotroph	Chrysosporium
2	Saprotroph	Chaetomium
39	Saprotroph	Rosellinia
578	Saprotroph	Melanospora
14981	Arbuscular mycorrhizal	Rhizophagus
20	Saprotroph	Ascobolus
48	Saprotroph	Preussia
55	Yeast	Trichosporon
92	Arbuscular mycorrhizal	_
15	Yeast	Candida
13	Plant pathogen	Olpidium
34	Yeast	Phaeococcomyces
53	Yeast	Phialophora
59	Saprotroph	Coprinopsis
1902	Unidentified & others	Amanita
3	Unidentified & others	Histoplasma
41	Saprotroph	Myxotrichum
120	Saprotroph	Paecilomyces
37	Saprotroph	Geastrum
64	Saprotroph	Cephaliophora
30	Plant pathogen	Graphium
42	Arbuscular mycorrhizal	_
68	Saprotroph	_
3	Plant pathogen	Verticillium
588452	Saprotroph	Talaromyces
10407	Unidentified & others	_
81	Unidentified & others	_
12	Saprotroph	Mycoarthris
12	Endophyte	Acremonium
441	Saprotroph	Aspergillus
