"","Axis.1","Axis.2","Habitat","TP"
"TP01L01",0.0265384109216475,0.0735937152340469,"Leaf",1
"TP01L02",0.0595306746171008,0.162881130337518,"Leaf",1
"TP01L11",0.0335079977590744,0.0963509141991912,"Leaf",1
"TP01L12",0.0368888754302291,0.121922615620958,"Leaf",1
"TP01L19",-0.185291086246216,-0.0607939590669001,"Leaf",1
"TP01L20",-0.167453877801138,-0.0952507202769912,"Leaf",1
"TP01R1",0.140004682527088,0.0236011348110336,"Root",1
"TP01R11",0.0847041536103106,0.0998887859045953,"Root",1
"TP01R12",0.155379139103344,0.0168739020362867,"Root",1
"TP01R19",0.163561068591981,-0.019064398065602,"Root",1
"TP01R2",0.185817445369004,0.0376544179850373,"Root",1
"TP01R20",0.124497091929338,0.0594844831439257,"Root",1
"TP01S1",0.247052244665428,-0.302890507944658,"Soil",1
"TP01S11",0.212065226505645,-0.320861865673433,"Soil",1
"TP01S12",0.225890760557012,-0.327303563902915,"Soil",1
"TP01S19",0.207896741797306,-0.307656659309053,"Soil",1
"TP01S2",0.244328248941197,-0.314853976926558,"Soil",1
"TP01S20",0.215111805516176,-0.298384268791291,"Soil",1
"TP01Z1",0.159394110558145,-0.136819597488256,"Rhizosphere",1
"TP01Z11",0.219735301638423,-0.183741076415712,"Rhizosphere",1
"TP01Z12",0.235778535257797,-0.137017829710965,"Rhizosphere",1
"TP01Z19",0.241865780245466,-0.152205105120213,"Rhizosphere",1
"TP01Z2",0.190307592091954,-0.1404594088667,"Rhizosphere",1
"TP01Z20",0.247083726709361,-0.195335789852511,"Rhizosphere",1
"TP02L01t",-0.32376347199241,-0.0937422096622501,"Leaf",2
"TP02L02",-0.386508446854877,-0.116038089447624,"Leaf",2
"TP02L11",-0.299931609117326,-0.132687081349313,"Leaf",2
"TP02L12",-0.145251390491359,0.015697937983587,"Leaf",2
"TP02L19",0.0414479011023589,0.172962633509948,"Leaf",2
"TP02L20t",-0.392470801814713,-0.0323670946932552,"Leaf",2
"TP02R1",0.159752951066773,-0.0797323925587951,"Root",2
"TP02R11t",0.212266771941991,-0.27546972765624,"Root",2
"TP02R12",0.230826214218949,-0.0902455607381079,"Root",2
"TP02R19",0.157841761246198,-0.0682798017750218,"Root",2
"TP02R2",-0.0389117551730414,0.0285357426387698,"Root",2
"TP02R20",0.198759445270409,-0.107694878093275,"Root",2
"TP02S1",0.222458281103753,-0.3230805553764,"Soil",2
"TP02S11",0.241908580715833,-0.284554882414135,"Soil",2
"TP02S12",0.228129040152919,-0.359993903000129,"Soil",2
"TP02S19",0.235305682311048,-0.351525729553026,"Soil",2
"TP02S2",0.233679821721713,-0.331172298399998,"Soil",2
"TP02S20",0.247847908861952,-0.31092042740724,"Soil",2
"TP02Z1",0.255858240501814,-0.158188496070483,"Rhizosphere",2
"TP02Z11",0.266647112141623,-0.279844540277223,"Rhizosphere",2
"TP02Z12",0.250126622534174,-0.284574233589977,"Rhizosphere",2
"TP02Z19",0.209053306035204,-0.264294968909217,"Rhizosphere",2
"TP02Z2",0.235352071222747,-0.222599314362013,"Rhizosphere",2
"TP02Z20",0.220388639947169,-0.241582394302329,"Rhizosphere",2
"TP03L01",-0.0180513139102291,0.0984369313411277,"Leaf",3
"TP03L02",-0.0504660543895796,0.13757372981404,"Leaf",3
"TP03L05",-0.40789297788543,-0.0403614390862326,"Leaf",3
