"","name","log2FoldChange","pvalue","log2AverageAbundance","order","Group","padj","neglogp","level","Guild","Genus"
"1","OTU998_Glomus",0,1,0.0159415438690215,713," ",1,0,"Drought > Control","Arbuscular mycorrhiza","_"
"2","OTU683_Fungi",0.0467942114789412,0.366282110565363,0.0395283641866373,577," ",1,1.00435144859539,"Control > Drought","Arbuscular mycorrhiza","_"
"3","OTU1184_Rhizophagus",0.0780025120012732,0.0583521802969703,0.0395283641866373,716," ",1,2.84125855510412,"Control > Drought","Arbuscular mycorrhiza","_"
"4","OTU565_Funneliformis",0.0620609681322517,0.154740429064287,0.0473057147783568,393," ",1,1.86600621705682,"Control > Drought","Arbuscular mycorrhiza","_"
"5","OTU660_Fungi",0.0931094043914815,0.0832448310000023,0.0473057147783568,674," ",1,2.48596924213932,"Control > Drought","Arbuscular mycorrhiza","_"
"6","OTU734_Rhizophagus",0,1,0.0627357553479627,593," ",1,0,"Drought > Control","Arbuscular mycorrhiza","_"
"7","OTU989_Funneliformis",-0.0614005446641434,0.517794990186953,0.0627357553479627,542," ",1,0.658175886900858,"Drought > Control","Arbuscular mycorrhiza","_"
"8","OTU682_Fungi",0.0921182019884314,0.257576132654435,0.0627357553479627,510," ",1,1.35643994178346,"Control > Drought","Arbuscular mycorrhiza","_"
"9","OTU551_Fungi",0.0921182019884314,0.0307707049119848,0.0627357553479627,511," ",1,3.48119218084382,"Control > Drought","Arbuscular mycorrhiza","_"
"10","OTU986_Fungi",0.208586621811417,0.00238636929774104,0.108059745857453,665," ",1,6.03798219035897,"Control > Drought","Arbuscular mycorrhiza","_"
"11","OTU368_Fungi",0.236067358233525,0.000833446437555124,0.122856747785533,413," ",0.649254774855441,7.08994111991976,"Control > Drought","Arbuscular mycorrhiza","_"
"12","OTU355_Funneliformis",0.0732489820306385,0.375026282242044,0.130198723126702,317," ",1,0.98075916948885,"Control > Drought","Arbuscular mycorrhiza","_"
"13","OTU400_Glomus",0.0143552929770701,0.857413169470076,0.159198594849254,442," ",1,0.153835365162397,"Control > Drought","Arbuscular mycorrhiza","_"
