"","name","log2FoldChange","pvalue","log2AverageAbundance","order","Group","padj","neglogp","level","Guild","Genus"
"1","OTU126_Glomus",-0.0297473433940519,0.322431340015967,0.0149503414659716,229," ",1,1.13186506458785,"Drought > Control","Arbuscular mycorrhiza","_"
"2","OTU229_Glomus",0.0297473433940519,0.322431340015967,0.0149503414659716,262," ",1,1.13186506458785,"Control > Drought","Arbuscular mycorrhiza","_"
"3","OTU323_Glomus",0.0297473433940519,0.322431340015967,0.0149503414659716,250," ",1,1.13186506458785,"Control > Drought","Arbuscular mycorrhiza","_"
"4","OTU400_Glomus",-0.0297473433940519,0.322431340015967,0.0149503414659716,348," ",1,1.13186506458785,"Drought > Control","Arbuscular mycorrhiza","_"
"5","OTU408_Fungi",0.0588936890535686,0.322431340015967,0.0297473433940519,284," ",1,1.13186506458785,"Control > Drought","Arbuscular mycorrhiza","_"
"6","OTU251_Rhizophagus",-0.0588936890535686,0.15947345613245,0.0297473433940519,234," ",1,1.83587778983875,"Drought > Control","Arbuscular mycorrhiza","_"
"7","OTU660_Fungi",-0.0874628412503394,0.322431340015967,0.0443941193584534,455," ",1,1.13186506458785,"Drought > Control","Arbuscular mycorrhiza","_"
"8","OTU476_Glomus",0.115477217419936,0.209256729925127,0.0588936890535686,292," ",1,1.56419340800249,"Control > Drought","Arbuscular mycorrhiza","_"
"9","OTU491_Claroideoglomus",-0.0588936890535686,0.322431340015967,0.0297473433940519,326," ",1,1.13186506458785,"Drought > Control","Arbuscular mycorrhiza","Claroideoglomus"
"10","OTU70_Claroideoglomus",-0.244418727666447,0.565881952756249,0.564784618783526,51," ",1,0.569369786566353,"Drought > Control","Arbuscular mycorrhiza","Claroideoglomus"
"11","OTU558_Funneliformis",0,1,0.0297473433940519,244," ",1,0,"Drought > Control","Arbuscular mycorrhiza","Funneliformis"
"12","OTU579_Glomus",-0.0297473433940519,0.322431340015967,0.0149503414659716,406," ",1,1.13186506458785,"Drought > Control","Arbuscular mycorrhiza","Glomus"
"13","OTU206_Glomus",-0.0588936890535686,0.15947345613245,0.0297473433940519,203," ",1,1.83587778983875,"Drought > Control","Arbuscular mycorrhiza","Glomus"
"14","OTU213_Rhizophagus",-0.0297473433940519,0.322431340015967,0.0149503414659716,207," ",1,1.13186506458785,"Drought > Control","Arbuscular mycorrhiza","Rhizophagus"
"15","OTU935_Rhizophagus",0.0297473433940519,0.322431340015967,0.0149503414659716,222," ",1,1.13186506458785,"Control > Drought","Arbuscular mycorrhiza","Rhizophagus"
"16","OTU944_Rhizophagus",-0.142957953842043,0.322431340015967,0.0732489820306385,360," ",1,1.13186506458785,"Drought > Control","Arbuscular mycorrhiza","Rhizophagus"
"17","OTU132_Rhizophagus",0.082462160191973,0.590087236476586,0.129283016944966,160," ",1,0.527484894577461,"Control > Drought","Arbuscular mycorrhiza","Rhizophagus"
"18","OTU161_Rhizophagus",-0.154722594798642,0.449297350735871,0.222392421336448,157," ",1,0.800070359349244,"Drought > Control","Arbuscular mycorrhiza","Rhizophagus"
"19","OTU150_Rhizophagus",0.0255350921071375,0.865591395824439,0.235216461694031,132," ",1,0.144342311068207,"Control > Drought","Arbuscular mycorrhiza","Rhizophagus"
"20","OTU166_Rhizophagus",-0.15200309344505,0.431289021054558,0.247927513443585,94," ",1,0.840976831125191,"Drought > Control","Arbuscular mycorrhiza","Rhizophagus"
"21","OTU118_Rhizophagus",0.0250909809628302,0.912820328244563,0.260527550223219,152," ",1,0.0912162104756725,"Control > Drought","Arbuscular mycorrhiza","Rhizophagus"
"22","OTU51_Rhizophagus",-0.505235308250422,0.193007334902134,0.643856189774725,45," ",1,1.64502708612514,"Drought > Control","Arbuscular mycorrhiza","Rhizophagus"
"23","OTU1207_Acremonium",-0.0297473433940519,0.322431340015967,0.0149503414659716,435," ",1,1.13186506458785,"Drought > Control","Endophyte","Acremonium"
"24","OTU680_Hypocreales",0,1,0.0297473433940519,522," ",1,0,"Drought > Control","Endophyte","Acremonium"
"25","OTU725_Acremonium",-0.0874628412503394,0.322431340015967,0.0443941193584534,418," ",1,1.13186506458785,"Drought > Control","Endophyte","Acremonium"
"26","OTU349_Acremonium",-0.0874628412503394,0.182462767709032,0.0443941193584534,308," ",1,1.70120913932623,"Drought > Control","Endophyte","Acremonium"
"27","OTU205_Acremonium",-0.407657968913247,0.323622544934164,0.247927513443585,115," ",1,1.12817742708316,"Drought > Control","Endophyte","Acremonium"
"28","OTU611_Fungi",-0.0622842782543426,0.654300621591076,0.533978572002351,394," ",1,0.424188367097609,"Drought > Control","Endophyte","Acremonium"
"29","OTU40_Acremonium",-0.163746426513188,0.637667940781921,2.19967234483636,33," ",1,0.449937600122203,"Drought > Control","Endophyte","Acremonium"
"30","OTU5_Acremonium",-0.433861373570499,0.499826340241122,3.7062081986007,3," ",1,0.693494560407095,"Drought > Control","Endophyte","Acremonium"
"31","OTU731_Alanphillipsia",0,1,0.115477217419936,444," ",1,0,"Drought > Control","Endophyte","Alanphillipsia"
"32","OTU58_Camarosporium",-0.496425826119499,0.378291753201761,0.491853096329675,66," ",1,0.972089547206038,"Drought > Control","Endophyte","Camarosporium"
"33","OTU230_Periconia",0.0297473433940519,0.322431340015967,0.0149503414659716,219," ",1,1.13186506458785,"Control > Drought","Endophyte","Periconia"
"34","OTU914_Dothideomycetes",-0.085729874025884,0.316826258373312,0.0732489820306385,521," ",1,1.14940173619735,"Drought > Control","Endophyte","Periconia"
"35","OTU775_Fungi",-0.0840642647884745,0.402295272753278,0.101538026462062,479," ",1,0.91056895064657,"Drought > Control","Endophyte","Periconia"
"36","OTU22_Periconia",-0.671377252538629,0.20970855346714,1.86624861111117,20," ",1,1.56203655284011,"Drought > Control","Endophyte","Periconia"
"37","OTU286_Lasiosphaeriaceae",-0.0297473433940519,0.322431340015967,0.0149503414659716,201," ",1,1.13186506458785,"Drought > Control","Endophyte","Podospora"
"38","OTU985_Fungi",-0.0297473433940519,0.322431340015967,0.0149503414659716,457," ",1,1.13186506458785,"Drought > Control","Endophyte","Podospora"
"39","OTU121_Sordariales",0,1,0.0297473433940519,210," ",1,0,"Drought > Control","Endophyte","Podospora"
"40","OTU465_Podospora",-0.111031312388744,0.519029522678533,0.115477217419936,186," ",1,0.655794513660403,"Drought > Control","Endophyte","Podospora"
"41","OTU134_Schizothecium",-0.566346822553809,0.212221226393758,0.426264754702098,100," ",1,1.55012602767412,"Drought > Control","Endophyte","Podospora"
"42","OTU106_Sordariomycetes",-0.174497731232137,0.467646623658326,0.634206019741006,42," ",1,0.760042345932353,"Drought > Control","Endophyte","Podospora"
"43","OTU170_Fungi",-0.801095931585922,0.396844272550479,0.914883386362049,54," ",1,0.924211335827391,"Drought > Control","Endophyte","Podospora"
