"","name","log2FoldChange","pvalue","log2AverageAbundance","order","Group","padj","neglogp","level","Guild","Genus"
"1","OTU1184_Rhizophagus",-0.0297473433940519,0.322431340015967,0.0149503414659716,653," ",1,1.13186506458785,"Drought > Control","Arbuscular mycorrhiza","_"
"2","OTU597_Paraglomus",0.0297473433940519,0.322431340015967,0.0149503414659716,649," ",1,1.13186506458785,"Control > Drought","Arbuscular mycorrhiza","_"
"3","OTU734_Rhizophagus",-0.0297473433940519,0.322431340015967,0.0149503414659716,566," ",1,1.13186506458785,"Drought > Control","Arbuscular mycorrhiza","_"
"4","OTU945_Glomus",0.0297473433940519,0.322431340015967,0.0149503414659716,723," ",1,1.13186506458785,"Control > Drought","Arbuscular mycorrhiza","_"
"5","OTU987_Paraglomus",0.0297473433940519,0.322431340015967,0.0149503414659716,548," ",1,1.13186506458785,"Control > Drought","Arbuscular mycorrhiza","_"
"6","OTU998_Glomus",-0.0297473433940519,0.322431340015967,0.0149503414659716,651," ",1,1.13186506458785,"Drought > Control","Arbuscular mycorrhiza","_"
"7","OTU975_Paraglomus",0,1,0.0297473433940519,721," ",1,0,"Drought > Control","Arbuscular mycorrhiza","_"
"8","OTU683_Fungi",0.115477217419936,0.0442609748072263,0.0588936890535686,554," ",1,3.11765192003724,"Control > Drought","Arbuscular mycorrhiza","_"
"9","OTU551_Fungi",0.142957953842043,0.0237083696286629,0.0732489820306385,501," ",1,3.74192714429471,"Control > Drought","Arbuscular mycorrhiza","_"
"10","OTU660_Fungi",0.196397212803503,0.0333142551192815,0.101538026462062,620," ",1,3.40176989193645,"Control > Drought","Arbuscular mycorrhiza","_"
"11","OTU989_Funneliformis",-0.0554951125917037,0.588954058686695,0.115477217419936,527," ",1,0.529407097206751,"Drought > Control","Arbuscular mycorrhiza","_"
"12","OTU565_Funneliformis",-0.166649869409451,0.0782761443216496,0.115477217419936,389," ",1,2.54751239262837,"Drought > Control","Arbuscular mycorrhiza","_"
"13","OTU986_Fungi",0.222392421336448,0.00988543025512731,0.115477217419936,614," ",1,4.61669329724434,"Control > Drought","Arbuscular mycorrhiza","_"
"14","OTU682_Fungi",0.134929580086109,0.18211615692876,0.156504485679991,500," ",1,1.70311057060093,"Control > Drought","Arbuscular mycorrhiza","_"
"15","OTU347_Rhizophagus",-0.0255350921071375,0.889048746118149,0.235216461694031,327," ",1,0.117603212442629,"Drought > Control","Arbuscular mycorrhiza","_"
"16","OTU534_Glomus",0.0506260730699678,0.744394482470988,0.247927513443585,454," ",1,0.295184166290156,"Control > Drought","Arbuscular mycorrhiza","_"
"17","OTU355_Funneliformis",-0.0497530351970996,0.65751777026928,0.273018494406416,316," ",1,0.419283488269921,"Drought > Control","Arbuscular mycorrhiza","_"
"18","OTU368_Fungi",0.272079545436801,0.0856120298030484,0.285402218862248,407," ",1,2.45792947062623,"Control > Drought","Arbuscular mycorrhiza","_"
"19","OTU333_Glomus",0.21864028647534,0.0764436147137586,0.309855262586787,446," ",1,2.57120187247905,"Control > Drought","Arbuscular mycorrhiza","_"
"20","OTU435_Glomus",-0.0480942882010449,0.81353753804168,0.321928094887362,450," ",1,0.206363209513418,"Drought > Control","Arbuscular mycorrhiza","_"
"21","OTU400_Glomus",0.111892880070897,0.483194464820801,0.426264754702098,436," ",1,0.727336087682108,"Control > Drought","Arbuscular mycorrhiza","_"
"22","OTU553_Fungi",0.612976876890753,0.000262823626298028,0.426264754702098,472," ",0.182662420277129,8.24402737319528,"Control > Drought","Arbuscular mycorrhiza","_"
