"","TP","Abundance","Treatment","OTU","Habitat"
"1",1,0,"Control","OTU16_Fusarium","Root"
"2",1,9,"Control","OTU16_Fusarium","Root"
"3",1,0,"Control","OTU16_Fusarium","Root"
"4",1,0,"Control","OTU16_Fusarium","Root"
"5",1,2,"Control","OTU16_Fusarium","Root"
"6",1,0,"Control","OTU16_Fusarium","Root"
"7",1,7,"Control","OTU16_Fusarium","Rhizosphere"
"8",1,3,"Control","OTU16_Fusarium","Rhizosphere"
"9",1,10,"Control","OTU16_Fusarium","Rhizosphere"
"10",1,5,"Control","OTU16_Fusarium","Rhizosphere"
"11",1,0,"Control","OTU16_Fusarium","Rhizosphere"
"12",1,7,"Control","OTU16_Fusarium","Rhizosphere"
"13",2,11,"Control","OTU16_Fusarium","Root"
"14",2,2,"Control","OTU16_Fusarium","Root"
"15",2,10,"Control","OTU16_Fusarium","Root"
"16",2,4,"Control","OTU16_Fusarium","Root"
"17",2,11,"Control","OTU16_Fusarium","Root"
"18",2,6,"Control","OTU16_Fusarium","Root"
"19",2,9,"Control","OTU16_Fusarium","Rhizosphere"
"20",2,8,"Control","OTU16_Fusarium","Rhizosphere"
"21",2,5,"Control","OTU16_Fusarium","Rhizosphere"
"22",2,3,"Control","OTU16_Fusarium","Rhizosphere"
"23",2,6,"Control","OTU16_Fusarium","Rhizosphere"
"24",2,5,"Control","OTU16_Fusarium","Rhizosphere"
"25",3,2,"Control","OTU16_Fusarium","Root"
"26",3,8,"Control","OTU16_Fusarium","Root"
"27",3,5,"Control","OTU16_Fusarium","Root"
"28",3,12,"Pre_flowering_drought","OTU16_Fusarium","Root"
"29",3,43,"Pre_flowering_drought","OTU16_Fusarium","Root"
"30",3,4,"Pre_flowering_drought","OTU16_Fusarium","Root"
"31",3,12,"Pre_flowering_drought","OTU16_Fusarium","Root"
"32",3,9,"Control","OTU16_Fusarium","Root"
"33",3,6,"Control","OTU16_Fusarium","Root"
"34",3,34,"Control","OTU16_Fusarium","Root"
"35",3,9,"Pre_flowering_drought","OTU16_Fusarium","Root"
"36",3,7,"Pre_flowering_drought","OTU16_Fusarium","Root"
"37",3,3,"Control","OTU16_Fusarium","Rhizosphere"
"38",3,8,"Control","OTU16_Fusarium","Rhizosphere"
"39",3,2,"Control","OTU16_Fusarium","Rhizosphere"
"40",3,7,"Pre_flowering_drought","OTU16_Fusarium","Rhizosphere"
"41",3,11,"Pre_flowering_drought","OTU16_Fusarium","Rhizosphere"
"42",3,1,"Pre_flowering_drought","OTU16_Fusarium","Rhizosphere"
"43",3,4,"Pre_flowering_drought","OTU16_Fusarium","Rhizosphere"
"44",3,8,"Control","OTU16_Fusarium","Rhizosphere"
"45",3,8,"Control","OTU16_Fusarium","Rhizosphere"
"46",3,5,"Control","OTU16_Fusarium","Rhizosphere"
"47",3,3,"Pre_flowering_drought","OTU16_Fusarium","Rhizosphere"
"48",3,2,"Pre_flowering_drought","OTU16_Fusarium","Rhizosphere"
"49",4,32,"Control","OTU16_Fusarium","Root"
"50",4,33,"Control","OTU16_Fusarium","Root"
"51",4,42,"Control","OTU16_Fusarium","Root"
"52",4,5,"Pre_flowering_drought","OTU16_Fusarium","Root"
"53",4,5,"Pre_flowering_drought","OTU16_Fusarium","Root"
"54",4,17,"Pre_flowering_drought","OTU16_Fusarium","Root"
"55",4,7,"Pre_flowering_drought","OTU16_Fusarium","Root"
"56",4,16,"Control","OTU16_Fusarium","Root"
"57",4,13,"Control","OTU16_Fusarium","Root"
"58",4,14,"Control","OTU16_Fusarium","Root"
"59",4,3,"Pre_flowering_drought","OTU16_Fusarium","Root"
"60",4,3,"Pre_flowering_drought","OTU16_Fusarium","Root"
"61",4,7,"Control","OTU16_Fusarium","Rhizosphere"
"62",4,13,"Control","OTU16_Fusarium","Rhizosphere"
"63",4,33,"Control","OTU16_Fusarium","Rhizosphere"
"64",4,4,"Pre_flowering_drought","OTU16_Fusarium","Rhizosphere"
"65",4,5,"Pre_flowering_drought","OTU16_Fusarium","Rhizosphere"
"66",4,10,"Pre_flowering_drought","OTU16_Fusarium","Rhizosphere"
"67",4,2,"Pre_flowering_drought","OTU16_Fusarium","Rhizosphere"
"68",4,8,"Control","OTU16_Fusarium","Rhizosphere"
"69",4,10,"Control","OTU16_Fusarium","Rhizosphere"
"70",4,5,"Control","OTU16_Fusarium","Rhizosphere"
