"","TP","S.rar362","Treatment1","Habitat"
"1",1,49,"Control","Leaf"
"2",1,44,"Control","Leaf"
"3",1,60,"Control","Leaf"
"4",1,47,"Control","Leaf"
"5",1,28,"Control","Leaf"
"6",1,27,"Control","Leaf"
"7",1,31,"Control","Root"
"8",1,58,"Control","Root"
"9",1,30,"Control","Root"
"10",1,42,"Control","Root"
"11",1,38,"Control","Root"
"12",1,32,"Control","Root"
"13",1,82,"Control","Soil"
"14",1,95,"Control","Soil"
"15",1,92,"Control","Soil"
"16",1,87,"Control","Soil"
"17",1,100,"Control","Soil"
"18",1,86,"Control","Soil"
"19",1,53,"Control","Rhizosphere"
"20",1,59,"Control","Rhizosphere"
"21",1,57,"Control","Rhizosphere"
"22",1,59,"Control","Rhizosphere"
"23",1,53,"Control","Rhizosphere"
"24",1,71,"Control","Rhizosphere"
"25",2,35,"Control","Leaf"
"26",2,40,"Control","Leaf"
"27",2,49,"Control","Leaf"
"28",2,63,"Control","Leaf"
"29",2,46,"Control","Leaf"
"30",2,28,"Control","Leaf"
"31",2,63,"Control","Root"
"32",2,69,"Control","Root"
"33",2,53,"Control","Root"
"34",2,48,"Control","Root"
"35",2,62,"Control","Root"
"36",2,63,"Control","Root"
"37",2,93,"Control","Soil"
"38",2,75,"Control","Soil"
"39",2,91,"Control","Soil"
"40",2,87,"Control","Soil"
"41",2,90,"Control","Soil"
"42",2,95,"Control","Soil"
"43",2,66,"Control","Rhizosphere"
"44",2,80,"Control","Rhizosphere"
"45",2,73,"Control","Rhizosphere"
"46",2,70,"Control","Rhizosphere"
"47",2,67,"Control","Rhizosphere"
"48",2,67,"Control","Rhizosphere"
"49",3,56,"Control","Leaf"
"50",3,64,"Control","Leaf"
"51",3,27,"Pre_flowering_drought","Leaf"
"52",3,59,"Pre_flowering_drought","Leaf"
"53",3,66,"Control","Leaf"
"54",3,35,"Control","Leaf"
"55",3,77,"Pre_flowering_drought","Leaf"
"56",3,46,"Pre_flowering_drought","Leaf"
"57",3,37,"Pre_flowering_drought","Leaf"
"58",3,62,"Pre_flowering_drought","Leaf"
"59",3,35,"Control","Leaf"
"60",3,45,"Control","Leaf"
"61",3,49,"Control","Root"
"62",3,45,"Control","Root"
"63",3,48,"Control","Root"
"64",3,48,"Pre_flowering_drought","Root"
"65",3,45,"Pre_flowering_drought","Root"
"66",3,44,"Pre_flowering_drought","Root"
"67",3,54,"Pre_flowering_drought","Root"
"68",3,57,"Control","Root"
