"","Sample_time","Predicted_time","Treatment","Habitat"
"1",1,1,"Control","Leaf"
"2",1,1,"Control","Leaf"
"3",1,2,"Control","Leaf"
"4",2,2,"Control","Leaf"
"5",2,2,"Control","Leaf"
"6",2,2,"Control","Leaf"
"7",3,3,"Control","Leaf"
"8",3,3,"Control","Leaf"
"9",3,2,"Control","Leaf"
"10",4,4,"Control","Leaf"
"11",4,2,"Control","Leaf"
"12",4,5,"Control","Leaf"
"13",5,2,"Control","Leaf"
"14",5,2,"Control","Leaf"
"15",5,5,"Control","Leaf"
"16",6,4,"Control","Leaf"
"17",6,5,"Control","Leaf"
"18",6,7,"Control","Leaf"
"19",7,7,"Control","Leaf"
"20",7,8,"Control","Leaf"
"21",7,8,"Control","Leaf"
"22",8,6,"Control","Leaf"
"23",8,8,"Control","Leaf"
"24",8,8,"Control","Leaf"
"25",9,9,"Control","Leaf"
"26",9,9,"Control","Leaf"
"27",9,9,"Control","Leaf"
"28",10,9,"Control","Leaf"
"29",10,12,"Control","Leaf"
"30",10,9,"Control","Leaf"
"31",11,11,"Control","Leaf"
"32",11,12,"Control","Leaf"
"33",11,11,"Control","Leaf"
"34",12,13,"Control","Leaf"
"35",12,12,"Control","Leaf"
"36",12,12,"Control","Leaf"
"37",13,12,"Control","Leaf"
"38",13,14,"Control","Leaf"
"39",13,14,"Control","Leaf"
"40",14,12,"Control","Leaf"
"41",14,15,"Control","Leaf"
"42",14,12,"Control","Leaf"
"43",15,12,"Control","Leaf"
"44",15,14,"Control","Leaf"
"45",15,14,"Control","Leaf"
"46",16,14,"Control","Leaf"
"47",16,15,"Control","Leaf"
"48",16,16,"Control","Leaf"
"49",17,16,"Control","Leaf"
"50",17,17,"Control","Leaf"
"51",17,16,"Control","Leaf"
"52",3,2,"Pre_flowering_drought","Leaf"
"53",3,6,"Pre_flowering_drought","Leaf"
"54",3,3,"Pre_flowering_drought","Leaf"
"55",3,3,"Pre_flowering_drought","Leaf"
"56",3,3,"Pre_flowering_drought","Leaf"
"57",3,3,"Pre_flowering_drought","Leaf"
"58",4,5,"Pre_flowering_drought","Leaf"
"59",4,5,"Pre_flowering_drought","Leaf"
"60",4,2,"Pre_flowering_drought","Leaf"
"61",4,4,"Pre_flowering_drought","Leaf"
"62",4,2,"Pre_flowering_drought","Leaf"
"63",4,1,"Pre_flowering_drought","Leaf"
"64",5,6,"Pre_flowering_drought","Leaf"
"65",5,6,"Pre_flowering_drought","Leaf"
"66",5,5,"Pre_flowering_drought","Leaf"
"67",5,6,"Pre_flowering_drought","Leaf"
"68",5,3,"Pre_flowering_drought","Leaf"
"69",5,4,"Pre_flowering_drought","Leaf"
"70",6,6,"Pre_flowering_drought","Leaf"
"71",6,2,"Pre_flowering_drought","Leaf"
"72",6,5,"Pre_flowering_drought","Leaf"
"73",6,6,"Pre_flowering_drought","Leaf"
"74",6,6,"Pre_flowering_drought","Leaf"
"75",6,6,"Pre_flowering_drought","Leaf"
"76",7,6,"Pre_flowering_drought","Leaf"
"77",7,6,"Pre_flowering_drought","Leaf"
"78",7,6,"Pre_flowering_drought","Leaf"
"79",7,7,"Pre_flowering_drought","Leaf"
"80",7,6,"Pre_flowering_drought","Leaf"
"81",7,2,"Pre_flowering_drought","Leaf"
"82",8,8,"Pre_flowering_drought","Leaf"
"83",8,8,"Pre_flowering_drought","Leaf"
"84",8,8,"Pre_flowering_drought","Leaf"
"85",8,8,"Pre_flowering_drought","Leaf"
"86",8,8,"Pre_flowering_drought","Leaf"
"87",8,8,"Pre_flowering_drought","Leaf"
"88",9,8,"Pre_flowering_drought","Leaf"
"89",9,6,"Pre_flowering_drought","Leaf"
"90",9,7,"Pre_flowering_drought","Leaf"
"91",9,7,"Pre_flowering_drought","Leaf"
"92",9,8,"Pre_flowering_drought","Leaf"
"93",9,8,"Pre_flowering_drought","Leaf"
"94",10,9,"Pre_flowering_drought","Leaf"
"95",10,9,"Pre_flowering_drought","Leaf"
"96",10,8,"Pre_flowering_drought","Leaf"
"97",10,7,"Pre_flowering_drought","Leaf"
"98",10,4,"Pre_flowering_drought","Leaf"
"99",10,8,"Pre_flowering_drought","Leaf"
"100",11,11,"Pre_flowering_drought","Leaf"
"101",11,7,"Pre_flowering_drought","Leaf"
"102",11,8,"Pre_flowering_drought","Leaf"
"103",11,8,"Pre_flowering_drought","Leaf"
"104",11,8,"Pre_flowering_drought","Leaf"
"105",11,8,"Pre_flowering_drought","Leaf"
"106",12,11,"Pre_flowering_drought","Leaf"
"107",12,10,"Pre_flowering_drought","Leaf"
"108",12,10,"Pre_flowering_drought","Leaf"
"109",12,11,"Pre_flowering_drought","Leaf"
"110",12,8,"Pre_flowering_drought","Leaf"
"111",12,8,"Pre_flowering_drought","Leaf"
"112",13,13,"Pre_flowering_drought","Leaf"
"113",13,13,"Pre_flowering_drought","Leaf"
"114",13,13,"Pre_flowering_drought","Leaf"
"115",13,13,"Pre_flowering_drought","Leaf"
"116",13,13,"Pre_flowering_drought","Leaf"
"117",13,12,"Pre_flowering_drought","Leaf"
"118",14,8,"Pre_flowering_drought","Leaf"
"119",14,11,"Pre_flowering_drought","Leaf"
"120",14,11,"Pre_flowering_drought","Leaf"
"121",14,11,"Pre_flowering_drought","Leaf"
"122",14,11,"Pre_flowering_drought","Leaf"
"123",14,11,"Pre_flowering_drought","Leaf"
"124",15,13,"Pre_flowering_drought","Leaf"
"125",15,11,"Pre_flowering_drought","Leaf"
"126",15,11,"Pre_flowering_drought","Leaf"
"127",15,13,"Pre_flowering_drought","Leaf"
"128",15,14,"Pre_flowering_drought","Leaf"
"129",15,16,"Pre_flowering_drought","Leaf"
"130",16,13,"Pre_flowering_drought","Leaf"
"131",16,16,"Pre_flowering_drought","Leaf"
"132",16,16,"Pre_flowering_drought","Leaf"
"133",16,16,"Pre_flowering_drought","Leaf"
"134",16,16,"Pre_flowering_drought","Leaf"
"135",16,17,"Pre_flowering_drought","Leaf"
