"","TP","Value","bNTI.ted.RC.partition","Habitat"
"1",1,6,"(-2, 2)   & [-1, -0.95]","Leaf"
"2",2,1,"(-2, 2)   & [-1, -0.95]","Leaf"
"3",3,0,"(-2, 2)   & [-1, -0.95]","Leaf"
"4",4,4,"(-2, 2)   & [-1, -0.95]","Leaf"
"5",5,1,"(-2, 2)   & [-1, -0.95]","Leaf"
"6",6,3,"(-2, 2)   & [-1, -0.95]","Leaf"
"7",7,4,"(-2, 2)   & [-1, -0.95]","Leaf"
"8",8,8,"(-2, 2)   & [-1, -0.95]","Leaf"
"9",9,0,"(-2, 2)   & [-1, -0.95]","Leaf"
"10",10,6,"(-2, 2)   & [-1, -0.95]","Leaf"
"11",11,6,"(-2, 2)   & [-1, -0.95]","Leaf"
"12",12,2,"(-2, 2)   & [-1, -0.95]","Leaf"
"13",13,6,"(-2, 2)   & [-1, -0.95]","Leaf"
"14",14,4,"(-2, 2)   & [-1, -0.95]","Leaf"
"15",15,11,"(-2, 2)   & [-1, -0.95]","Leaf"
"16",16,6,"(-2, 2)   & [-1, -0.95]","Leaf"
"17",17,0,"(-2, 2)   & [-1, -0.95]","Leaf"
"18",1,15,"(-2, 2)   & [-1, -0.95]","Rhizosphere"
"19",2,14,"(-2, 2)   & [-1, -0.95]","Rhizosphere"
"20",3,14,"(-2, 2)   & [-1, -0.95]","Rhizosphere"
"21",4,13,"(-2, 2)   & [-1, -0.95]","Rhizosphere"
"22",5,12,"(-2, 2)   & [-1, -0.95]","Rhizosphere"
"23",6,14,"(-2, 2)   & [-1, -0.95]","Rhizosphere"
"24",7,11,"(-2, 2)   & [-1, -0.95]","Rhizosphere"
"25",8,11,"(-2, 2)   & [-1, -0.95]","Rhizosphere"
"26",9,13,"(-2, 2)   & [-1, -0.95]","Rhizosphere"
"27",10,12,"(-2, 2)   & [-1, -0.95]","Rhizosphere"
"28",11,14,"(-2, 2)   & [-1, -0.95]","Rhizosphere"
"29",12,15,"(-2, 2)   & [-1, -0.95]","Rhizosphere"
"30",13,13,"(-2, 2)   & [-1, -0.95]","Rhizosphere"
"31",14,14,"(-2, 2)   & [-1, -0.95]","Rhizosphere"
"32",15,13,"(-2, 2)   & [-1, -0.95]","Rhizosphere"
"33",16,9,"(-2, 2)   & [-1, -0.95]","Rhizosphere"
