"","bNTI.ted2RC95pct","qPCR","Habitat"
"1",0.681818181818182,3.14152675333333,"Leaf"
"2",0.642857142857143,4.75083242,"Root"
"3",0.857142857142857,2.8170455994,"Leaf"
"4",0.84375,4.052430577,"Root"
"5",0.842105263157895,2.7376714914,"Leaf"
"6",0.84375,3.060851813,"Leaf"
"7",0.807692307692308,5.20747785633333,"Root"
"8",0.782608695652174,4.94090883166667,"Root"
"9",0.869565217391304,2.9417894064,"Leaf"
"10",0.827586206896552,3.09649928275,"Leaf"
"11",0,4.99335118366667,"Root"
"12",0.642857142857143,5.02725536016667,"Root"
"13",0.842105263157895,2.892247928,"Leaf"
"14",0.807692307692308,2.8326897705,"Leaf"
"15",0,5.26457566133333,"Root"
"16",0.545454545454545,5.15999719183333,"Root"
"17",0.854368932038835,3.0197591988,"Leaf"
"18",0.84375,3.017330537,"Leaf"
"19",0,5.4896577645,"Root"
"20",0,5.40355854333333,"Root"
"21",0.84375,2.8946500344,"Leaf"
"22",0.84375,3.0801650186,"Leaf"
"23",0,6.4013821955,"Root"
"24",0.642857142857143,6.0337435225,"Root"
"25",0,3.2553158644,"Leaf"
"26",0.545454545454545,3.1548613278,"Leaf"
"27",0.782608695652174,3.36340433233333,"Leaf"
"28",0,6.1559556495,"Root"
"29",0.375,5.7919900965,"Root"
"30",0,4.22683297666667,"Leaf"
"31",0,3.917153587,"Leaf"
"32",0.642857142857143,3.1001284396,"Leaf"
"33",0,5.711135055,"Root"
"34",0,5.82636724216667,"Root"
"35",0.827586206896552,5.648018571,"Root"
"36",0,4.6593760188,"Leaf"
"37",0,4.11689721716667,"Leaf"
"38",0,3.44797014266667,"Leaf"
"39",0,5.832758033,"Root"
"40",0,6.017980177,"Root"
"41",0,5.73433473266667,"Root"
"42",0,4.23048060025,"Leaf"
"43",0.705882352941177,4.7751603752,"Leaf"
"44",0,3.4700867142,"Leaf"
"45",0.642857142857143,6.20909802566667,"Root"
"46",0,6.581558334,"Root"
"47",0,6.60265371116667,"Root"
"48",0,5.74505610225,"Leaf"
"49",0,5.29353054016667,"Leaf"
"50",0,5.050956589,"Leaf"
"51",0.375,6.0763860904,"Root"
"52",0,4.87680680075,"Root"
"53",0,6.36738468916667,"Root"
"54",0,5.84804317916667,"Leaf"
"55",0,5.95089941183333,"Leaf"
"56",0,5.37341141633333,"Leaf"
"57",0.642857142857143,5.87835524233333,"Root"
"58",0,6.274403802,"Root"
"59",0,5.810421527,"Root"
"60",0,5.52572836183333,"Leaf"
"61",0,5.915233484,"Leaf"
"62",0,5.14370599233333,"Leaf"
"63",0.545454545454545,5.9199787345,"Root"
"64",0,6.4718438235,"Root"
"65",0.375,5.67289178733333,"Root"
"66",0,5.7692538815,"Leaf"
"67",0,5.7935443566,"Leaf"
"68",0,5.567449814,"Leaf"
"69",0.545454545454545,5.5819754044,"Root"
"70",0,6.459233707,"Root"
"71",0,5.949282113,"Root"
"72",0,5.910537699,"Leaf"
"73",0,5.6114117335,"Leaf"
"74",0,5.44875047083333,"Leaf"
"75",0.375,5.60449531633333,"Root"
"76",0,6.218922147,"Root"
"77",0.375,5.60805606,"Root"
"78",0,6.36798733433333,"Leaf"
"79",0,6.18937591483333,"Leaf"
"80",0,6.07840318533333,"Leaf"
"81",0.705882352941177,5.6360132855,"Root"
"82",0,6.5491815145,"Root"
"83",0.545454545454545,5.684195181,"Root"
