"","TP","value","Cultivar"
"TP01L01",1,5,"RTx430"
"TP01L02",1,4,"BTx642"
"TP01L11",1,4,"BTx642"
"TP01L12",1,1,"RTx430"
"TP01L19",1,2,"BTx642"
"TP01L20",1,6,"RTx430"
"TP02L01t",2,1,"RTx430"
"TP02L02",2,28,"BTx642"
"TP02L11",2,41,"BTx642"
"TP02L12",2,20,"RTx430"
"TP02L19",2,6,"BTx642"
"TP02L20t",2,10,"RTx430"
"TP03L01",3,6,"RTx430"
"TP03L02",3,5,"BTx642"
"TP03L05",3,13,"RTx430"
"TP03L06",3,11,"BTx642"
"TP03L11",3,3,"BTx642"
"TP03L12",3,28,"RTx430"
"TP03L13t",3,3,"RTx430"
"TP03L14",3,11,"BTx642"
"TP03L17",3,32,"BTx642"
"TP03L18",3,9,"RTx430"
"TP03L19",3,39,"BTx642"
"TP03L20",3,33,"RTx430"
"TP04L01",4,15,"RTx430"
"TP04L02",4,4,"BTx642"
"TP04L05",4,0,"RTx430"
"TP04L06",4,0,"BTx642"
"TP04L11",4,4,"BTx642"
"TP04L12",4,11,"RTx430"
"TP04L13",4,2,"RTx430"
"TP04L14",4,2,"BTx642"
"TP04L17t",4,6,"BTx642"
"TP04L18",4,5,"RTx430"
"TP04L19",4,0,"BTx642"
"TP04L20",4,0,"RTx430"
"TP05L01",5,9,"RTx430"
"TP05L02",5,4,"BTx642"
"TP05L05",5,4,"RTx430"
"TP05L06",5,6,"BTx642"
"TP05L11",5,0,"BTx642"
"TP05L12t",5,15,"RTx430"
"TP05L13",5,2,"RTx430"
"TP05L14",5,4,"BTx642"
"TP05L17",5,11,"BTx642"
"TP05L18",5,9,"RTx430"
"TP05L19",5,4,"BTx642"
"TP05L20",5,0,"RTx430"
"TP06L1",6,4,"RTx430"
"TP06L11",6,10,"BTx642"
"TP06L12",6,0,"RTx430"
"TP06L13",6,3,"RTx430"
"TP06L14",6,8,"BTx642"
"TP06L17",6,10,"BTx642"
"TP06L18",6,0,"RTx430"
"TP06L19",6,4,"BTx642"
"TP06L2",6,10,"BTx642"
"TP06L20",6,13,"RTx430"
"TP06L5",6,19,"RTx430"
"TP06L6",6,8,"BTx642"
"TP07L1",7,11,"RTx430"
"TP07L11",7,9,"BTx642"
"TP07L12",7,7,"RTx430"
"TP07L13",7,26,"RTx430"
"TP07L17",7,8,"BTx642"
"TP07L18",7,8,"RTx430"
"TP07L19",7,15,"BTx642"
"TP07L2",7,7,"BTx642"
"TP07L5",7,35,"RTx430"
"TP07L6",7,13,"BTx642"
"TP07R14r",7,18,"BTx642"
"TP07R20t",7,18,"RTx430"
"TP08L01",8,19,"RTx430"
"TP08L02",8,23,"BTx642"
"TP08L03",8,9,"RTx430"
"TP08L04",8,6,"BTx642"
"TP08L05",8,11,"RTx430"
"TP08L06",8,13,"BTx642"
"TP08L11",8,21,"BTx642"
"TP08L12",8,9,"RTx430"
"TP08L13",8,24,"RTx430"
"TP08L14t",8,33,"BTx642"
"TP08L15",8,18,"BTx642"
"TP08L16",8,5,"RTx430"
"TP08L17",8,18,"BTx642"
"TP08L18t",8,44,"RTx430"
"TP08L19",8,12,"BTx642"
"TP08L20t",8,10,"RTx430"
"TP08L21t",8,29,"BTx642"
"TP08L22",8,22,"RTx430"
"TP09L01",9,7,"RTx430"
"TP09L02",9,11,"BTx642"
"TP09L03",9,8,"RTx430"
"TP09L04",9,7,"BTx642"
"TP09L05",9,4,"RTx430"
"TP09L06",9,3,"BTx642"
"TP09L11",9,12,"BTx642"
"TP09L12",9,15,"RTx430"
"TP09L13",9,1,"RTx430"
"TP09L14",9,2,"BTx642"
"TP09L15",9,17,"BTx642"
"TP09L16",9,11,"RTx430"
"TP09L17",9,4,"BTx642"
"TP09L18",9,14,"RTx430"
"TP09L19",9,11,"BTx642"
"TP09L20",9,11,"RTx430"
"TP09L21",9,14,"BTx642"
"TP09L22",9,10,"RTx430"
"TP10L01",10,11,"RTx430"
"TP10L02",10,6,"BTx642"
"TP10L03",10,7,"RTx430"
"TP10L04",10,15,"BTx642"
"TP10L05",10,8,"RTx430"
"TP10L06",10,8,"BTx642"
"TP10L11",10,5,"BTx642"
"TP10L12",10,11,"RTx430"
"TP10L13",10,3,"RTx430"
"TP10L14",10,2,"BTx642"
"TP10L15",10,4,"BTx642"
"TP10L16",10,6,"RTx430"
"TP10L17",10,9,"BTx642"
"TP10L18",10,11,"RTx430"
"TP10L19",10,13,"BTx642"
"TP10L20",10,6,"RTx430"
"TP10L21",10,4,"BTx642"
"TP10L22",10,22,"RTx430"
"TP11L01p",11,6,"RTx430"
"TP11L02p",11,11,"BTx642"
"TP11L03p",11,2,"RTx430"
"TP11L04",11,13,"BTx642"
"TP11L05",11,11,"RTx430"
"TP11L06",11,10,"BTx642"
"TP11L11",11,16,"BTx642"
"TP11L12",11,15,"RTx430"
"TP11L13",11,5,"RTx430"
"TP11L14",11,7,"BTx642"
"TP11L15",11,9,"BTx642"
"TP11L16",11,3,"RTx430"
"TP11L17",11,3,"BTx642"
"TP11L18",11,2,"RTx430"
"TP11L19",11,8,"BTx642"
"TP11L20",11,6,"RTx430"
"TP11L21",11,15,"BTx642"
