"","TP","value","Cultivar"
"TP01L01",1,0,"RTx430"
"TP01L02",1,0,"BTx642"
"TP01L11",1,0,"BTx642"
"TP01L12",1,0,"RTx430"
"TP01L19",1,0,"BTx642"
"TP01L20",1,0,"RTx430"
"TP02L01t",2,0,"RTx430"
"TP02L02",2,0,"BTx642"
"TP02L11",2,0,"BTx642"
"TP02L12",2,0,"RTx430"
"TP02L19",2,2,"BTx642"
"TP02L20t",2,0,"RTx430"
"TP03L01",3,0,"RTx430"
"TP03L02",3,0,"BTx642"
"TP03L05",3,0,"RTx430"
"TP03L06",3,0,"BTx642"
"TP03L11",3,0,"BTx642"
"TP03L12",3,0,"RTx430"
"TP03L13t",3,0,"RTx430"
"TP03L14",3,0,"BTx642"
"TP03L17",3,0,"BTx642"
"TP03L18",3,0,"RTx430"
"TP03L19",3,0,"BTx642"
"TP03L20",3,0,"RTx430"
"TP04L01",4,0,"RTx430"
"TP04L02",4,0,"BTx642"
"TP04L05",4,0,"RTx430"
"TP04L06",4,0,"BTx642"
"TP04L11",4,0,"BTx642"
"TP04L12",4,0,"RTx430"
"TP04L13",4,0,"RTx430"
"TP04L14",4,0,"BTx642"
"TP04L17t",4,0,"BTx642"
"TP04L18",4,0,"RTx430"
"TP04L19",4,0,"BTx642"
"TP04L20",4,0,"RTx430"
"TP05L01",5,0,"RTx430"
"TP05L02",5,0,"BTx642"
"TP05L05",5,0,"RTx430"
"TP05L06",5,0,"BTx642"
"TP05L11",5,0,"BTx642"
"TP05L12t",5,0,"RTx430"
"TP05L13",5,0,"RTx430"
"TP05L14",5,0,"BTx642"
"TP05L17",5,0,"BTx642"
"TP05L18",5,0,"RTx430"
"TP05L19",5,0,"BTx642"
"TP05L20",5,0,"RTx430"
"TP06L1",6,0,"RTx430"
"TP06L11",6,0,"BTx642"
"TP06L12",6,0,"RTx430"
"TP06L13",6,0,"RTx430"
"TP06L14",6,0,"BTx642"
"TP06L17",6,0,"BTx642"
"TP06L18",6,0,"RTx430"
"TP06L19",6,0,"BTx642"
"TP06L2",6,0,"BTx642"
"TP06L20",6,0,"RTx430"
"TP06L5",6,0,"RTx430"
"TP06L6",6,0,"BTx642"
"TP07L1",7,0,"RTx430"
"TP07L11",7,0,"BTx642"
"TP07L12",7,0,"RTx430"
"TP07L13",7,0,"RTx430"
"TP07L17",7,0,"BTx642"
"TP07L18",7,0,"RTx430"
"TP07L19",7,0,"BTx642"
"TP07L2",7,0,"BTx642"
"TP07L5",7,0,"RTx430"
"TP07L6",7,0,"BTx642"
"TP07R14r",7,0,"BTx642"
"TP07R20t",7,0,"RTx430"
"TP08L01",8,0,"RTx430"
"TP08L02",8,0,"BTx642"
"TP08L03",8,0,"RTx430"
"TP08L04",8,0,"BTx642"
"TP08L05",8,0,"RTx430"
"TP08L06",8,0,"BTx642"
"TP08L11",8,0,"BTx642"
"TP08L12",8,0,"RTx430"
"TP08L13",8,0,"RTx430"
"TP08L14t",8,0,"BTx642"
"TP08L15",8,0,"BTx642"
"TP08L16",8,0,"RTx430"
"TP08L17",8,0,"BTx642"
"TP08L18t",8,0,"RTx430"
"TP08L19",8,0,"BTx642"
"TP08L20t",8,0,"RTx430"
"TP08L21t",8,0,"BTx642"
"TP08L22",8,0,"RTx430"
"TP09L01",9,0,"RTx430"
"TP09L02",9,1,"BTx642"
"TP09L03",9,0,"RTx430"
"TP09L04",9,0,"BTx642"
"TP09L05",9,0,"RTx430"
"TP09L06",9,0,"BTx642"
"TP09L11",9,4,"BTx642"
"TP09L12",9,0,"RTx430"
"TP09L13",9,0,"RTx430"
"TP09L14",9,0,"BTx642"
"TP09L15",9,1,"BTx642"
"TP09L16",9,1,"RTx430"
"TP09L17",9,0,"BTx642"
"TP09L18",9,0,"RTx430"
"TP09L19",9,1,"BTx642"
"TP09L20",9,1,"RTx430"
"TP09L21",9,0,"BTx642"
"TP09L22",9,0,"RTx430"
"TP10L01",10,0,"RTx430"
"TP10L02",10,1,"BTx642"
"TP10L03",10,0,"RTx430"
"TP10L04",10,0,"BTx642"
"TP10L05",10,0,"RTx430"
"TP10L06",10,0,"BTx642"
"TP10L11",10,1,"BTx642"
"TP10L12",10,0,"RTx430"
"TP10L13",10,0,"RTx430"
"TP10L14",10,0,"BTx642"
"TP10L15",10,1,"BTx642"
"TP10L16",10,1,"RTx430"
"TP10L17",10,0,"BTx642"
"TP10L18",10,0,"RTx430"
"TP10L19",10,1,"BTx642"
"TP10L20",10,2,"RTx430"
"TP10L21",10,1,"BTx642"
"TP10L22",10,0,"RTx430"
"TP11L01p",11,0,"RTx430"
"TP11L02p",11,0,"BTx642"
"TP11L03p",11,0,"RTx430"
"TP11L04",11,1,"BTx642"
"TP11L05",11,0,"RTx430"
"TP11L06",11,0,"BTx642"
"TP11L11",11,2,"BTx642"
"TP11L12",11,0,"RTx430"
"TP11L13",11,0,"RTx430"
"TP11L14",11,1,"BTx642"
"TP11L15",11,1,"BTx642"
"TP11L16",11,0,"RTx430"
"TP11L17",11,0,"BTx642"
"TP11L18",11,0,"RTx430"
"TP11L19",11,2,"BTx642"
"TP11L20",11,0,"RTx430"
"TP11L21",11,1,"BTx642"
"TP11L22",11,0,"RTx430"
"TP12L01",12,1,"RTx430"
"TP12L02",12,3,"BTx642"
"TP12L03",12,0,"RTx430"
"TP12L04",12,0,"BTx642"
"TP12L05",12,0,"RTx430"
"TP12L06",12,0,"BTx642"
"TP12L11",12,0,"BTx642"
"TP12L12",12,1,"RTx430"
"TP12L13",12,0,"RTx430"
"TP12L14",12,1,"BTx642"
"TP12L15",12,1,"BTx642"
"TP12L16",12,0,"RTx430"
"TP12L17",12,0,"BTx642"
"Tp12L18",12,0,"RTx430"
"TP12L19",12,1,"BTx642"
"TP12L20",12,0,"RTx430"
"TP12L21",12,2,"BTx642"
"TP12L22",12,1,"RTx430"
"TP13L01",13,2,"RTx430"
"TP13L02",13,0,"BTx642"
"TP13L03",13,0,"RTx430"
"TP13L04",13,2,"BTx642"
"TP13L05",13,0,"RTx430"
"TP13L06",13,0,"BTx642"
"TP13L11",13,2,"BTx642"
"TP13L12",13,2,"RTx430"
"TP13L13",13,1,"RTx430"
"TP13L14",13,2,"BTx642"
"TP13L15",13,0,"BTx642"
"TP13L16",13,0,"RTx430"
"TP13L17",13,1,"BTx642"
"TP13L18",13,0,"RTx430"
"TP13L19",13,0,"BTx642"
"TP13L20",13,0,"RTx430"
"TP13L21",13,1,"BTx642"
"TP13L22",13,1,"RTx430"
"TP14L01",14,0,"RTx430"
