"","TP","value","Cultivar"
"TP01Z1",1,18,"RTx430"
"TP01Z11",1,0,"BTx642"
"TP01Z12",1,40,"RTx430"
"TP01Z19",1,0,"BTx642"
"TP01Z2",1,1,"BTx642"
"TP01Z20",1,27,"RTx430"
"TP02Z1",2,15,"RTx430"
"TP02Z11",2,1,"BTx642"
"TP02Z12",2,58,"RTx430"
"TP02Z19",2,0,"BTx642"
"TP02Z2",2,0,"BTx642"
"TP02Z20",2,47,"RTx430"
"TP03Z1",3,30,"RTx430"
"TP03Z11",3,0,"BTx642"
"TP03Z12",3,46,"RTx430"
"TP03Z13",3,23,"RTx430"
"TP03Z14",3,1,"BTx642"
"TP03Z17",3,0,"BTx642"
"TP03Z18",3,7,"RTx430"
"TP03Z19",3,0,"BTx642"
"TP03Z2",3,2,"BTx642"
"TP03Z20",3,20,"RTx430"
"TP03Z5",3,6,"RTx430"
"TP03Z6",3,0,"BTx642"
"TP04Z1",4,11,"RTx430"
"TP04Z11",4,4,"BTx642"
"TP04Z12",4,1,"RTx430"
"TP04Z13",4,19,"RTx430"
"TP04Z14",4,1,"BTx642"
"TP04Z17",4,0,"BTx642"
"TP04Z18",4,9,"RTx430"
"TP04Z19",4,1,"BTx642"
"TP04Z2",4,0,"BTx642"
"TP04Z20",4,10,"RTx430"
"TP04Z5",4,11,"RTx430"
"TP04Z6",4,0,"BTx642"
"TP05Z1",5,6,"RTx430"
"TP05Z11",5,1,"BTx642"
"TP05Z12",5,13,"RTx430"
"TP05Z13",5,26,"RTx430"
"TP05Z14",5,0,"BTx642"
"TP05Z17",5,4,"BTx642"
"TP05Z18",5,11,"RTx430"
"TP05Z19",5,1,"BTx642"
"TP05Z2",5,1,"BTx642"
"TP05Z20",5,10,"RTx430"
"TP05Z5",5,0,"RTx430"
"TP05Z6",5,2,"BTx642"
"TP06Z1",6,13,"RTx430"
"TP06Z11",6,0,"BTx642"
"TP06Z12",6,8,"RTx430"
"TP06Z13",6,12,"RTx430"
"TP06Z14",6,3,"BTx642"
"TP06Z17",6,0,"BTx642"
"TP06Z18",6,1,"RTx430"
"TP06Z19",6,0,"BTx642"
"TP06Z2",6,3,"BTx642"
"TP06Z20",6,17,"RTx430"
"TP06Z5",6,0,"RTx430"
"TP06Z6",6,0,"BTx642"
"TP07Z1",7,3,"RTx430"
"TP07Z11",7,0,"BTx642"
"TP07Z12",7,17,"RTx430"
"TP07Z13",7,6,"RTx430"
"TP07Z14",7,0,"BTx642"
"TP07Z17",7,0,"BTx642"
"TP07Z18",7,4,"RTx430"
"TP07Z19",7,0,"BTx642"
"TP07Z2",7,0,"BTx642"
"TP07Z20",7,2,"RTx430"
"TP07Z5",7,0,"RTx430"
"TP07Z6",7,0,"BTx642"
"TP08Z1",8,15,"RTx430"
"TP08Z11",8,0,"BTx642"
"TP08Z12",8,0,"RTx430"
"TP08Z13",8,9,"RTx430"
"TP08Z14",8,0,"BTx642"
"TP08Z15",8,0,"BTx642"
"TP08Z16",8,3,"RTx430"
"TP08Z17",8,1,"BTx642"
"TP08Z18",8,8,"RTx430"
"TP08Z19",8,1,"BTx642"
"TP08Z2",8,0,"BTx642"
"TP08Z20",8,8,"RTx430"
"TP08Z21",8,1,"BTx642"
"TP08Z22",8,1,"RTx430"
