"","TP","value","Cultivar"
"TP01R1",1,0,"RTx430"
"TP01R11",1,2,"BTx642"
"TP01R12",1,0,"RTx430"
"TP01R19",1,2,"BTx642"
"TP01R2",1,1,"BTx642"
"TP01R20",1,0,"RTx430"
"TP02R1",2,1,"RTx430"
"TP02R11t",2,3,"BTx642"
"TP02R12",2,3,"RTx430"
"TP02R19",2,5,"BTx642"
"TP02R2",2,2,"BTx642"
"TP02R20",2,5,"RTx430"
"TP03R1",3,9,"RTx430"
"TP03R11",3,3,"BTx642"
"TP03R12",3,7,"RTx430"
"TP03R13",3,7,"RTx430"
"TP03R14",3,8,"BTx642"
"TP03R17",3,5,"BTx642"
"TP03R18",3,4,"RTx430"
"TP03R19",3,4,"BTx642"
"TP03R20",3,3,"RTx430"
"TP03R2r",3,1,"BTx642"
"TP03R5",3,4,"RTx430"
"TP03R6",3,4,"BTx642"
"TP04R1",4,8,"RTx430"
"TP04R11",4,2,"BTx642"
"TP04R12",4,7,"RTx430"
"TP04R13",4,3,"RTx430"
"TP04R14",4,5,"BTx642"
"TP04R17",4,6,"BTx642"
"TP04R18",4,5,"RTx430"
"TP04R19",4,11,"BTx642"
"TP04R2",4,6,"BTx642"
"TP04R20",4,3,"RTx430"
"TP04R5",4,4,"RTx430"
"TP04R6",4,0,"BTx642"
"TP05R1",5,3,"RTx430"
"TP05R11",5,2,"BTx642"
"TP05R12",5,9,"RTx430"
"TP05R13",5,2,"RTx430"
"TP05R14",5,3,"BTx642"
"TP05R17",5,3,"BTx642"
"TP05R18",5,4,"RTx430"
"TP05R19",5,3,"BTx642"
"TP05R2",5,5,"BTx642"
"TP05R20",5,4,"RTx430"
"TP05R5",5,4,"RTx430"
"TP05R6",5,7,"BTx642"
"TP06R1",6,10,"RTx430"
"TP06R11",6,7,"BTx642"
"TP06R12",6,7,"RTx430"
"TP06R13",6,3,"RTx430"
"TP06R14",6,5,"BTx642"
"TP06R17",6,13,"BTx642"
"TP06R18",6,1,"RTx430"
"TP06R19",6,0,"BTx642"
"TP06R2",6,5,"BTx642"
"TP06R20",6,4,"RTx430"
"TP06R5",6,0,"RTx430"
"TP06R6",6,4,"BTx642"
"TP07L14",7,4,"BTx642"
"TP07L20",7,5,"RTx430"
"TP07R1",7,12,"RTx430"
"TP07R11",7,6,"BTx642"
"TP07R12",7,14,"RTx430"
"TP07R13",7,3,"RTx430"
"TP07R17",7,3,"BTx642"
"TP07R18",7,2,"RTx430"
"TP07R19",7,9,"BTx642"
"TP07R2",7,7,"BTx642"
"TP07R5",7,6,"RTx430"
"TP07R6",7,2,"BTx642"
"TP08R1",8,7,"RTx430"
"TP08R11",8,2,"BTx642"
"TP08R12",8,17,"RTx430"
"TP08R13",8,4,"RTx430"
"TP08R15",8,8,"BTx642"
"TP08R16",8,14,"RTx430"
"TP08R17",8,3,"BTx642"
"TP08R18",8,1,"RTx430"
"TP08R19",8,13,"BTx642"
"TP08R2",8,4,"BTx642"
"TP08R20",8,20,"RTx430"
"TP08R21",8,7,"BTx642"
"TP08R22",8,11,"RTx430"
"TP08R3",8,11,"RTx430"
"TP08R4",8,4,"BTx642"
"TP08R5",8,2,"RTx430"
"TP08R6",8,5,"BTx642"
"TP08R6x",8,4,"BTx642"
"TP09R1",9,12,"RTx430"
"TP09R11",9,8,"BTx642"
"TP09R12",9,10,"RTx430"
"TP09R13",9,3,"RTx430"
"TP09R14",9,0,"BTx642"
"TP09R15",9,13,"BTx642"
"TP09R16",9,20,"RTx430"
"TP09R17",9,5,"BTx642"
"TP09R18",9,3,"RTx430"
"TP09R19",9,7,"BTx642"
"TP09R2",9,6,"BTx642"
"TP09R20",9,19,"RTx430"
"TP09R21",9,5,"BTx642"
"TP09R22",9,12,"RTx430"
"TP09R3",9,16,"RTx430"
"TP09R4",9,3,"BTx642"
"TP09R5",9,8,"RTx430"
"TP09R6",9,4,"BTx642"
"TP10R1",10,35,"RTx430"
"TP10R11",10,7,"BTx642"
"TP10R12",10,16,"RTx430"
"TP10R13",10,7,"RTx430"
"TP10R14",10,4,"BTx642"
"TP10R15",10,6,"BTx642"
"TP10R16",10,35,"RTx430"
"TP10R17",10,7,"BTx642"
"TP10R18",10,9,"RTx430"
"TP10R19",10,34,"BTx642"
"TP10R2",10,35,"BTx642"
"TP10R20",10,20,"RTx430"
"TP10R21",10,8,"BTx642"
"TP10R22",10,21,"RTx430"
"TP10R3",10,20,"RTx430"
"TP10R4",10,23,"BTx642"
"TP10R5",10,0,"RTx430"
"TP10R6",10,3,"BTx642"
"TP11R01z",11,10,"RTx430"
"TP11R02z",11,10,"BTx642"
"TP11R03z",11,24,"RTx430"
"TP11R11",11,6,"BTx642"
"TP11R12",11,10,"RTx430"
"TP11R13",11,1,"RTx430"
"TP11R14",11,2,"BTx642"
"TP11R15",11,5,"BTx642"
"TP11R16",11,9,"RTx430"
"TP11R17",11,2,"BTx642"
"TP11R18",11,5,"RTx430"
"TP11R19",11,6,"BTx642"
"TP11R20",11,24,"RTx430"
"TP11R21",11,8,"BTx642"
"TP11R22z",11,16,"RTx430"
"TP11R4",11,13,"BTx642"
"TP11R5t",11,1,"RTx430"
"TP11R6",11,3,"BTx642"
"TP12R1",12,21,"RTx430"
"TP12R11",12,5,"BTx642"
"TP12R12",12,21,"RTx430"
"TP12R13",12,8,"RTx430"
"TP12R14",12,5,"BTx642"
"TP12R15",12,9,"BTx642"
"TP12R16",12,8,"RTx430"
"TP12R17",12,2,"BTx642"
"TP12R18",12,2,"RTx430"
"TP12R19",12,5,"BTx642"
"TP12R2",12,5,"BTx642"
"TP12R20",12,24,"RTx430"
"TP12R21",12,12,"BTx642"
"TP12R22",12,25,"RTx430"
"TP12R3",12,14,"RTx430"
"TP12R4",12,6,"BTx642"
"TP12R5",12,7,"RTx430"
"TP12R6",12,1,"BTx642"
"TP13R1",13,3,"RTx430"
"TP13R11",13,4,"BTx642"
"TP13R12",13,11,"RTx430"
"TP13R13",13,0,"RTx430"
"TP13R14",13,7,"BTx642"
"TP13R15",13,7,"BTx642"
"TP13R16",13,5,"RTx430"
"TP13R17",13,4,"BTx642"
"TP13R18",13,5,"RTx430"
"TP13R19",13,2,"BTx642"
"TP13R2",13,22,"BTx642"
"TP13R20",13,23,"RTx430"
"TP13R21",13,9,"BTx642"
"TP13R22",13,7,"RTx430"
"TP13R3",13,8,"RTx430"
"TP13R4",13,13,"BTx642"
"TP13R5",13,6,"RTx430"
"TP13R6",13,3,"BTx642"
"TP14R1",14,19,"RTx430"
"TP14R11",14,5,"BTx642"
"TP14R12",14,20,"RTx430"
"TP14R13",14,11,"RTx430"
"TP14R14",14,7,"BTx642"
"TP14R15",14,12,"BTx642"
"TP14R16",14,12,"RTx430"
"TP14R17Rt",14,13,"BTx642"
"TP14R18Rt",14,5,"RTx430"
"TP14R19Rt",14,5,"BTx642"
"TP14R2",14,7,"BTx642"
"TP14R20Rt",14,6,"RTx430"
"TP14R21",14,17,"BTx642"
"TP14R22",14,21,"RTx430"
"TP14R3",14,7,"RTx430"
"TP14R4",14,9,"BTx642"
"TP14R5",14,4,"RTx430"
