"","Fungi","Relative_Abundance","Sampletime","Direction","Distance"
"1","OTU1_Cladosporium",17548,"TP0913","P",0
"2","OTU1_Cladosporium",11755,"TP1011","P",0
"3","OTU1_Cladosporium",33936,"TP0913","A",1
"4","OTU1_Cladosporium",8705,"TP1011","A",1
"5","OTU1_Cladosporium",15613,"TP0913","B",1
"6","OTU1_Cladosporium",36066,"TP1011","B",1
"7","OTU1_Cladosporium",47520,"TP0913","C",1
"8","OTU1_Cladosporium",11757,"TP1011","C",1
"9","OTU1_Cladosporium",16714,"TP0913","A",2
"10","OTU1_Cladosporium",13000,"TP1011","A",2
"11","OTU1_Cladosporium",25773,"TP0913","B",2
"12","OTU1_Cladosporium",35969,"TP1011","B",2
"13","OTU1_Cladosporium",14310,"TP0913","C",2
"14","OTU1_Cladosporium",10558,"TP1011","C",2
"15","OTU1_Cladosporium",27931,"TP0913","A",4
"16","OTU1_Cladosporium",24081,"TP1011","A",4
"17","OTU1_Cladosporium",11633,"TP0913","B",4
"18","OTU1_Cladosporium",13115,"TP1011","B",4
"19","OTU1_Cladosporium",20936,"TP0913","C",4
"20","OTU1_Cladosporium",24530,"TP1011","C",4
"21","OTU1_Cladosporium",59216,"TP0913","A",8
"22","OTU1_Cladosporium",7150,"TP1011","A",8
"23","OTU1_Cladosporium",45389,"TP0913","B",8
"24","OTU1_Cladosporium",21570,"TP1011","B",8
"25","OTU1_Cladosporium",8502,"TP0913","C",8
"26","OTU1_Cladosporium",11949,"TP1011","C",8
"27","OTU4_Alternaria",14612,"TP0913","P",0
"28","OTU4_Alternaria",6054,"TP1011","P",0
"29","OTU4_Alternaria",25088,"TP0913","A",1
"30","OTU4_Alternaria",6322,"TP1011","A",1
"31","OTU4_Alternaria",7053,"TP0913","B",1
"32","OTU4_Alternaria",23316,"TP1011","B",1
"33","OTU4_Alternaria",28124,"TP0913","C",1
"34","OTU4_Alternaria",5984,"TP1011","C",1
"35","OTU4_Alternaria",7121,"TP0913","A",2
"36","OTU4_Alternaria",2441,"TP1011","A",2
"37","OTU4_Alternaria",12571,"TP0913","B",2
"38","OTU4_Alternaria",17296,"TP1011","B",2
"39","OTU4_Alternaria",4972,"TP0913","C",2
"40","OTU4_Alternaria",7487,"TP1011","C",2
"41","OTU4_Alternaria",11151,"TP0913","A",4
"42","OTU4_Alternaria",13308,"TP1011","A",4
