"","Axis.1","Axis.2","plot","Habitat","Sampletime"
"Y17A1170913",0.0955701829333644,0.0303793906036208,1,"A","TP0913"
"Y17A1171011",-0.0754919580469811,-0.0356289889285527,1,"A","TP1011"
"Y17A2170913",0.122670283046433,-0.0678359012495183,2,"A","TP0913"
"Y17A2171011",-0.0251923432739333,-0.131156009926674,2,"A","TP1011"
"Y17A4170913",0.0872007632327042,0.0312639044441979,4,"A","TP0913"
"Y17A4171011",-0.164110838308856,0.0570512293815519,4,"A","TP1011"
"Y17A8170913",0.0791164698483055,0.0573871463640093,8,"A","TP0913"
"Y17A8171011",-0.106132840027651,0.000366485099015268,8,"A","TP1011"
"Y17B1170913",0.0991232165110391,0.0288259923895595,1,"B","TP0913"
"Y17B1171011",-0.126675984255658,-0.00610181689765337,1,"B","TP1011"
"Y17B2170913",0.0913588193245443,0.0336760268370212,2,"B","TP0913"
"Y17B2171011",-0.0249731467728276,-0.0178290259447874,2,"B","TP1011"
"Y17B4170913",0.0537536466757888,0.0764079851102239,4,"B","TP0913"
"Y17B4171011",-0.13232882632892,-0.0426043963462278,4,"B","TP1011"
"Y17B8170913",0.0424879234885422,0.129232696225236,8,"B","TP0913"
"Y17B8171011",-0.129470883565212,0.050556020560825,8,"B","TP1011"
"Y17C1170913",0.139060516730095,-0.0412431631143375,1,"C","TP0913"
"Y17C1171011",-0.0158651876901218,-0.149690502968714,1,"C","TP1011"
"Y17C2170913",0.133186707389244,-0.0737690639529728,2,"C","TP0913"
"Y17C2171011",0.044797504485614,-0.117776817418692,2,"C","TP1011"
"Y17C4170913",0.0895117017240536,0.00467177019981762,4,"C","TP0913"
"Y17C4171011",-0.0834889604306962,-0.120427827915801,4,"C","TP1011"
"Y17C8170913",0.0595328360198453,0.0994323929848577,8,"C","TP0913"
"Y17C8171011",-0.13413615918771,0.0298274050857312,8,"C","TP1011"
"Y17P0170913",0.0580102343803572,0.0970162930548895,0,"0","TP0913"
"Y17P0171011",-0.177513677901364,0.0779687763233736,0,"0","TP1011"
