"","qPCR","Fungi.pct","Habitat"
"1",3.365207062,37.06728209,"Leaf"
"2",3.024649742,44.14156454,"Leaf"
"3",3.14751196,18.54788996,"Leaf"
"4",3.329051449,24.47854452,"Leaf"
"5",2.97873004,19.19406151,"Leaf"
"6",3.004010267,14.80565721,"Leaf"
"7",4.775410744,92.31993146,"Root"
"8",4.522548594,91.4638547,"Root"
"9",4.674211834,95.28398606,"Root"
"10",4.711980073,94.97270534,"Root"
"11",4.5625977,94.14524684,"Root"
"12",5.258245575,94.04140717,"Root"
"25",2.330911393,11.71119955,"Leaf"
"26",2.528132733,3.939040128,"Leaf"
"27",3.122688361,5.538361297,"Leaf"
"28",2.978445808,6.591235632,"Leaf"
"30",3.125049702,11.67315175,"Leaf"
"31",4.012660119,49.50674867,"Root"
"32",4.098675289,99.69315416,"Root"
"33",4.058564117,77.7673546,"Root"
"34",4.115629955,84.68465031,"Root"
"35",3.798630186,88.65546218,"Root"
"36",4.230423796,80.1931537,"Root"
"49",2.871744684,12.73741983,"Leaf"
"50",2.541694512,15.36938248,"Leaf"
"51",2.642893975,3.17767339,"Leaf"
"52",3.881283583,4.043969342,"Leaf"
"54",2.856477381,6.534551977,"Leaf"
"56",2.855677306,16.07072948,"Leaf"
"57",2.935591967,6.719256797,"Leaf"
"58",2.988812234,6.734275737,"Leaf"
"59",2.584904503,10.52430366,"Leaf"
"60",2.833536377,3.928944619,"Leaf"
"61",5.010979401,83.47278119,"Root"
"62",5.43235435,75.82148641,"Root"
"63",5.325994664,76.4975346,"Root"
"64",5.361648103,81.96094898,"Root"
"65",4.742139523,55.77018678,"Root"
"66",4.705156882,54.74486914,"Root"
"67",4.919405994,71.34398572,"Root"
"68",5.11275063,84.55039228,"Root"
"69",5.449055182,79.52552862,"Root"
"70",4.913732911,92.55826271,"Root"
"71",4.797738889,74.37835868,"Root"
"72",5.119363599,82.7086055,"Root"
"97",3.007681267,4.522554867,"Leaf"
"98",2.91493757,9.136325487,"Leaf"
"102",3.147760187,2.333448994,"Leaf"
"103",3.113255212,3.046402808,"Leaf"
"104",2.845383436,9.513803972,"Leaf"
"105",3.784841391,4.799258361,"Leaf"
"106",2.642517092,13.60513133,"Leaf"
"107",2.64470879,8.012766266,"Leaf"
"108",2.993859218,13.84947905,"Leaf"
"109",4.241961444,70.99364098,"Root"
"110",5.037434698,85.01663294,"Root"
"111",5.321852273,85.54905948,"Root"
"112",4.968385644,62.90765996,"Root"
"113",4.97063873,67.4517326,"Root"
"114",5.032412796,64.08587096,"Root"
"115",4.89553417,68.12161052,"Root"
"116",5.024091758,64.91484185,"Root"
"117",5.291340734,82.29753754,"Root"
"118",5.043426195,86.63940014,"Root"
"119",5.095951703,65.94580842,"Root"
"120",5.200609118,59.16473318,"Root"
"146",2.592230304,4.670674955,"Leaf"
"150",3.481642854,10.02666159,"Leaf"
"151",2.486207521,9.236646589,"Leaf"
"152",3.002008808,11.15253447,"Leaf"
"153",2.780066822,10.34105815,"Leaf"
"154",3.062475931,4.613365637,"Leaf"
"155",2.354175026,9.254487582,"Leaf"
"156",3.140943528,16.88259109,"Leaf"
"157",5.052899327,93.13519855,"Root"
"158",5.204781531,92.09891659,"Root"
"159",5.426712453,93.9023916,"Root"
"160",4.951015951,83.41164351,"Root"
"161",5.480652192,89.72055634,"Root"
"162",5.290950373,80.19678847,"Root"
"163",5.03957983,85.49260723,"Root"
"164",5.121311668,84.37244253,"Root"
"165",5.237445051,95.13237728,"Root"
"166",5.544303938,92.53551371,"Root"
"167",5.080891823,85.75679172,"Root"
"168",5.116892982,86.37630302,"Root"
"193",2.695357683,7.717756906,"Leaf"
"195",3.030500278,13.30830474,"Leaf"
"196",2.689783192,14.88869967,"Leaf"
"197",3.076330389,6.215437339,"Leaf"
"198",3.441076186,2.981191624,"Leaf"
"199",3.142208773,6.127630999,"Leaf"
"200",2.91812062,5.452347794,"Leaf"
"201",3.268587286,4.884437596,"Leaf"
"202",3.186230127,15.39692172,"Leaf"
"203",2.737254145,8.039666088,"Leaf"
"205",5.433486184,99.96592071,"Root"
"206",5.296181117,99.97672253,"Root"
"207",5.269896964,99.95735608,"Root"
"208",5.258697043,99.98391248,"Root"
"209",5.47487767,99.95319448,"Root"
"210",5.038269625,99.86151603,"Root"
"211",5.468397057,99.8800192,"Root"
"212",5.380540765,99.98584335,"Root"
"213",5.926260528,99.95536711,"Root"
"214",5.631581029,99.98890922,"Root"
"215",5.493338238,99.94594595,"Root"
"216",5.687771627,99.94393205,"Root"
"241",2.709665267,12.62493507,"Leaf"
"242",2.63333831,14.6478376,"Leaf"
"243",3.383807575,18.10344828,"Leaf"
"244",3.106491272,10.63479446,"Leaf"
"246",3.201593214,20.57624354,"Leaf"
"247",3.109078264,7.971396907,"Leaf"
"248",2.974608985,11.05087573,"Leaf"
"249",2.771830035,10.67070755,"Leaf"
"251",3.354540988,9.656940545,"Leaf"
"252",2.629121355,7.352477122,"Leaf"
"254",6.199778184,93.2265435,"Root"
"255",6.602986207,96.00830342,"Root"
"263",5.985341654,93.53074248,"Root"
"264",6.082145391,92.06282192,"Root"
"289",3.346098069,20.61092908,"Leaf"
"290",3.018250197,38.84139033,"Leaf"
"292",3.200350625,25.93653764,"Leaf"
"293",2.974246443,28.70958289,"Leaf"
"294",3.946412541,13.94525656,"Leaf"
"295",2.863304193,21.94583036,"Leaf"
"296",2.924860906,22.46940148,"Leaf"
"297",3.02759459,7.662200813,"Leaf"
"298",3.782495698,31.28335358,"Leaf"
"299",3.439772847,17.61262495,"Leaf"
"300",2.691271333,18.91222859,"Leaf"
"301",3.407247394,14.44266315,"Leaf"
"302",3.042429328,31.34535952,"Leaf"
"304",4.124065957,30.76238835,"Leaf"
"305",3.414743556,58.12624884,"Leaf"
"306",3.028168278,21.91961344,"Leaf"
"307",6.116821633,100,"Root"
"308",6.210805151,99.99026322,"Root"
"309",6.358246547,99.94052045,"Root"
"310",5.729913447,99.8875,"Root"
"313",5.767761686,99.93550468,"Root"
"314",5.749520606,99.91581783,"Root"
"315",5.955960581,99.98625543,"Root"
"316",6.155115261,99.99417996,"Root"
"317",6.138784724,99.98340249,"Root"
"322",5.891393012,99.96186045,"Root"
"323",5.806675914,99.93940258,"Root"
"324",5.806675914,99.93940258,"Root"
"361",4.01306878,47.88604879,"Leaf"
"362",4.29970662,52.06658567,"Leaf"
"363",4.266047523,55.41911202,"Leaf"
"364",4.00028204,46.91141261,"Leaf"
"365",3.092104618,25.66297882,"Leaf"
"366",3.087657936,10.92130518,"Leaf"
"367",4.037577547,87.49127878,"Leaf"
"368",4.288887504,63.64998777,"Leaf"
"370",2.821988579,37.16015602,"Leaf"
"371",4.031612289,76.77070713,"Leaf"
"372",3.355360563,51.29515419,"Leaf"
"373",3.517935692,26.32844761,"Leaf"
"374",2.980955373,31.48867707,"Leaf"
"375",4.320481178,72.02831367,"Leaf"
"376",4.401276231,46.94466931,"Leaf"
"377",3.713919811,47.34874027,"Leaf"
"378",4.135699296,54.48691901,"Leaf"
"379",5.766193753,99.98399402,"Root"
"380",5.253814021,99.9781796,"Root"
"381",6.208687707,98.20720667,"Root"
"382",5.44178325,94.56490222,"Root"
"383",5.774710251,99.9551896,"Root"
"384",6.210688299,99.98104301,"Root"
"385",5.73372394,99.92609334,"Root"
"386",5.399302483,86.23130014,"Root"
"387",5.353173428,99.97055359,"Root"
"388",5.594240656,99.97356071,"Root"
"390",5.732739138,99.97428462,"Root"
"391",5.351275004,99.98238816,"Root"
"392",5.625847325,99.98993945,"Root"
"393",6.551592023,98.91686901,"Root"
"394",5.485076862,99.96572114,"Root"
"395",6.011203747,99.98406019,"Root"
"396",5.907938267,99.96161846,"Root"
"451",4.52968409,78.8660257,"Leaf"
"452",4.199210856,67.80114203,"Leaf"
"453",4.096948676,65.19857323,"Leaf"
"454",3.309462618,77.11520535,"Leaf"
"455",3.633111806,61.63943812,"Leaf"
"456",3.89667364,39.51850868,"Leaf"
"457",4.39476958,86.01161216,"Leaf"
"458",5.067765601,89.14550335,"Leaf"
"459",3.90856767,38.66610013,"Leaf"
"460",2.846997889,46.70169294,"Leaf"
"461",4.389674126,75.99687081,"Leaf"
"462",4.046091722,41.66018095,"Leaf"
"463",2.949886667,32.64640748,"Leaf"
"464",3.452583184,38.71848193,"Leaf"
"466",5.105449967,90.44287468,"Leaf"
"467",4.611427032,77.77297536,"Leaf"
"468",4.247779129,80.88256657,"Leaf"
"469",5.563253103,100,"Root"
"470",6.199225278,99.97588588,"Root"
"471",5.713451533,99.97295324,"Root"
"472",5.843849265,99.98600137,"Root"
"473",5.991202605,100,"Root"
"474",5.949553027,99.98853421,"Root"
"475",5.753668887,99.97967562,"Root"
"476",5.808350727,99.9961041,"Root"
"477",5.262728579,99.91381787,"Root"
"478",5.597905049,99.99603751,"Root"
"479",5.863405558,100,"Root"
"480",6.059307677,99.99255104,"Root"
"481",5.997398188,99.99107488,"Root"
"482",6.011672513,99.97193705,"Root"
"483",6.148373084,99.99586397,"Root"
"484",6.247215363,99.98649835,"Root"
"485",5.503159151,99.97286149,"Root"
"486",5.996718069,99.98135571,"Root"
"526",3.392229179,72.40543547,"Leaf"
"527",3.23154924,60.90381662,"Leaf"
"528",4.297778764,48.19885684,"Leaf"
"529",4.003345849,86.50096368,"Leaf"
"530",3.389422245,94.62422635,"Leaf"
"532",2.773285859,38.84054178,"Leaf"
"533",5.393347565,82.6847579,"Leaf"
"534",5.595137662,71.86785635,"Leaf"
"535",4.450198701,43.8568298,"Leaf"
"536",2.597621007,38.94679931,"Leaf"
"537",5.025017008,79.89964204,"Leaf"
"538",4.504137299,93.2095607,"Leaf"
"539",5.602022969,77.98000189,"Leaf"
"540",3.893064501,68.5783711,"Leaf"
"550",5.917953513,97.45524384,"Root"
"551",6.056099073,98.93824485,"Root"
"552",6.66048735,99.46021807,"Root"
"553",6.461477645,96.40254275,"Root"
"554",6.211476128,97.83726236,"Root"
"555",6.518248725,95.5182573,"Root"
"556",6.420471157,97.43740378,"Root"
"557",6.434613113,97.29295291,"Root"
"558",6.725571864,95.47560707,"Root"
"559",6.877639258,97.10266349,"Root"
"560",6.628873792,97.95327858,"Root"
"561",6.087298464,91.23580997,"Root"
"562",6.520283331,97.78747651,"Root"
"563",6.418190387,97.51658016,"Root"
"564",6.597047687,99.62211452,"Root"
"565",6.653439603,98.37314052,"Root"
"566",6.576779634,99.29763844,"Root"
"567",6.593909701,96.79013852,"Root"
"606",3.291165964,80.13528828,"Leaf"
"607",5.282374459,86.18354749,"Leaf"
"608",4.547428808,85.82854156,"Leaf"
"609",4.506818342,82.15695782,"Leaf"
"610",5.579355551,98.17866162,"Leaf"
"611",6.340413767,96.85984604,"Leaf"
