"","name","log2FoldChange","pvalue","log2AverageAbundance","order","Group","padj","neglogp","level","Guild","Genus"
"1","OTU551_Fungi",0.0297473433940519,0.322431340015967,0.0149503414659716,388," ",1,1.13186506458785,"Control > Drought","Arbuscular mycorrhiza","_"
"2","OTU568_Fungi",0.0297473433940519,0.322431340015967,0.0149503414659716,429," ",1,1.13186506458785,"Control > Drought","Arbuscular mycorrhiza","_"
"3","OTU597_Paraglomus",0.0297473433940519,0.322431340015967,0.0149503414659716,457," ",1,1.13186506458785,"Control > Drought","Arbuscular mycorrhiza","_"
"4","OTU659_Glomus",0.0297473433940519,0.322431340015967,0.0149503414659716,444," ",1,1.13186506458785,"Control > Drought","Arbuscular mycorrhiza","_"
"5","OTU945_Glomus",0.0297473433940519,0.322431340015967,0.0149503414659716,485," ",1,1.13186506458785,"Control > Drought","Arbuscular mycorrhiza","_"
"6","OTU1013_Glomeraceae",0.0588936890535686,0.322431340015967,0.0297473433940519,484," ",1,1.13186506458785,"Control > Drought","Arbuscular mycorrhiza","_"
"7","OTU1184_Rhizophagus",0.0588936890535686,0.322431340015967,0.0297473433940519,458," ",1,1.13186506458785,"Control > Drought","Arbuscular mycorrhiza","_"
"8","OTU682_Fungi",0.0588936890535686,0.15947345613245,0.0297473433940519,387," ",1,1.83587778983875,"Control > Drought","Arbuscular mycorrhiza","_"
"9","OTU683_Fungi",0.0588936890535686,0.15947345613245,0.0297473433940519,410," ",1,1.83587778983875,"Control > Drought","Arbuscular mycorrhiza","_"
"10","OTU565_Funneliformis",0.0874628412503394,0.0831932066125504,0.0443941193584534,322," ",1,2.48658958578008,"Control > Drought","Arbuscular mycorrhiza","_"
"11","OTU660_Fungi",0.0874628412503394,0.0831932066125504,0.0443941193584534,447," ",1,2.48658958578008,"Control > Drought","Arbuscular mycorrhiza","_"
"12","OTU986_Fungi",0.0874628412503394,0.0831932066125504,0.0443941193584534,443," ",1,2.48658958578008,"Control > Drought","Arbuscular mycorrhiza","_"
"13","OTU734_Rhizophagus",0.0577154978562874,0.413867720391853,0.0588936890535686,421," ",1,0.882208872174632,"Control > Drought","Arbuscular mycorrhiza","_"
"14","OTU989_Funneliformis",0.169925001442312,0.0323825065567422,0.0874628412503394,398," ",1,3.43013692308193,"Control > Drought","Arbuscular mycorrhiza","_"
"15","OTU347_Rhizophagus",-0.0280143761695965,0.78019053807299,0.101538026462062,282," ",1,0.248217109549142,"Drought > Control","Arbuscular mycorrhiza","_"
"16","OTU553_Fungi",0.108934371553164,0.306370106342571,0.142957953842043,369," ",1,1.18296141003149,"Control > Drought","Arbuscular mycorrhiza","_"
"17","OTU368_Fungi",0.273018494406416,0.00290037707425374,0.142957953842043,332," ",1,5.84291452483757,"Control > Drought","Arbuscular mycorrhiza","_"
"18","OTU435_Glomus",0.160464672193246,0.0924354232349568,0.169925001442312,358," ",1,2.38124500545768,"Control > Drought","Arbuscular mycorrhiza","_"
"19","OTU355_Funneliformis",0.214124805352847,0.0364152938427381,0.169925001442312,275," ",1,3.31276643206737,"Control > Drought","Arbuscular mycorrhiza","_"
"20","OTU534_Glomus",0.175849835399418,0.131825853832674,0.260527550223219,361," ",1,2.02627351657027,"Control > Drought","Arbuscular mycorrhiza","_"
"21","OTU333_Glomus",0.485426827170242,0.000648423611542932,0.321928094887362,356," ",0.28530638907889,7.34096635367796,"Control > Drought","Arbuscular mycorrhiza","_"
"22","OTU400_Glomus",0.48153291106575,0.00346306297640619,0.40372218605101,351," ",1,5.66560182822152,"Control > Drought","Arbuscular mycorrhiza","_"
"23","OTU408_Fungi",0.691877704637668,0.000338209611343783,0.502500340529183,281," ",0.151856115493358,7.9918447027913,"Control > Drought","Arbuscular mycorrhiza","_"
"24","OTU476_Glomus",0.614709844115208,0.0108289698833733,0.754887502163469,287," ",1,4.52553033944852,"Control > Drought","Arbuscular mycorrhiza","_"
