"","TP","J","Treatment1","Habitat"
"1",1,0.684876830430308,"Control","Leaf"
"2",1,0.726430516057076,"Control","Leaf"
"3",1,0.748466596857149,"Control","Leaf"
"4",1,0.667468627111896,"Control","Leaf"
"5",1,0.560089485589102,"Control","Leaf"
"6",1,0.419750611460827,"Control","Leaf"
"7",1,0.544253099257544,"Control","Root"
"8",1,0.726490826440127,"Control","Root"
"9",1,0.574778628177599,"Control","Root"
"10",1,0.693329336520146,"Control","Root"
"11",1,0.672694028783506,"Control","Root"
"12",1,0.673205274263243,"Control","Root"
"13",1,0.886155990673477,"Control","Soil"
"14",1,0.885772189304333,"Control","Soil"
"15",1,0.885043626116301,"Control","Soil"
"16",1,0.842112126330203,"Control","Soil"
"17",1,0.916035424290116,"Control","Soil"
"18",1,0.891718360225617,"Control","Soil"
"19",1,0.650143389845012,"Control","Rhizosphere"
"20",1,0.68772794968099,"Control","Rhizosphere"
"21",1,0.74694853975524,"Control","Rhizosphere"
"22",1,0.743507416330475,"Control","Rhizosphere"
"23",1,0.707103198830958,"Control","Rhizosphere"
"24",1,0.799349462188667,"Control","Rhizosphere"
"25",2,0.749647537287341,"Control","Leaf"
"26",2,0.74923652262599,"Control","Leaf"
"27",2,0.78395301572541,"Control","Leaf"
"28",2,0.811142909234218,"Control","Leaf"
"29",2,0.738563817864542,"Control","Leaf"
"30",2,0.719871836667614,"Control","Leaf"
"31",2,0.814557513650073,"Control","Root"
"32",2,0.785806001058139,"Control","Root"
"33",2,0.816978646595957,"Control","Root"
"34",2,0.771871127872581,"Control","Root"
"35",2,0.747194681382824,"Control","Root"
"36",2,0.865922570507352,"Control","Root"
"37",2,0.875363898973378,"Control","Soil"
"38",2,0.85682404972366,"Control","Soil"
"39",2,0.88567610355697,"Control","Soil"
"40",2,0.863009438045804,"Control","Soil"
"41",2,0.880661536617102,"Control","Soil"
"42",2,0.879715464823506,"Control","Soil"
"43",2,0.817016897998477,"Control","Rhizosphere"
"44",2,0.87284571155897,"Control","Rhizosphere"
"45",2,0.832483935124941,"Control","Rhizosphere"
"46",2,0.746294904272787,"Control","Rhizosphere"
"47",2,0.801182262818722,"Control","Rhizosphere"
"48",2,0.797429189446253,"Control","Rhizosphere"
"49",3,0.755551868397899,"Control","Leaf"
"50",3,0.782531153971434,"Control","Leaf"
"51",3,0.661985076983374,"Pre_flowering_drought","Leaf"
"52",3,0.806208441462696,"Pre_flowering_drought","Leaf"
"53",3,0.781581200878116,"Control","Leaf"
"54",3,0.832828553076106,"Control","Leaf"
"55",3,0.740009103171848,"Pre_flowering_drought","Leaf"
"56",3,0.753517115614217,"Pre_flowering_drought","Leaf"
"57",3,0.79467880042091,"Pre_flowering_drought","Leaf"
"58",3,0.827495685446322,"Pre_flowering_drought","Leaf"
"59",3,0.851828736376424,"Control","Leaf"
"60",3,0.736535628329245,"Control","Leaf"
"61",3,0.795806567569092,"Control","Root"
"62",3,0.772315046040989,"Control","Root"
"63",3,0.822063528256748,"Control","Root"
"64",3,0.855725635050248,"Pre_flowering_drought","Root"
"65",3,0.791666348556538,"Pre_flowering_drought","Root"
"66",3,0.776353645215963,"Pre_flowering_drought","Root"
"67",3,0.820595616247818,"Pre_flowering_drought","Root"
"68",3,0.827431117060916,"Control","Root"
"69",3,0.772221839368915,"Control","Root"
"70",3,0.757467188271461,"Control","Root"
"71",3,0.78612234622542,"Pre_flowering_drought","Root"
"72",3,0.832689508260343,"Pre_flowering_drought","Root"
"73",3,0.892395696949128,"Control","Soil"
"74",3,0.891355514149022,"Control","Soil"
"75",3,0.858312233326151,"Control","Soil"
"76",3,0.876275004551405,"Pre_flowering_drought","Soil"
"77",3,0.875603920076946,"Pre_flowering_drought","Soil"
"78",3,0.886331414267209,"Pre_flowering_drought","Soil"
"79",3,0.835902768984322,"Pre_flowering_drought","Soil"
"80",3,0.858619977333288,"Control","Soil"
"81",3,0.898355225721194,"Control","Soil"
"82",3,0.881771030683911,"Control","Soil"
"83",3,0.871370633592657,"Pre_flowering_drought","Soil"
"84",3,0.903144182649312,"Pre_flowering_drought","Soil"
"85",3,0.833136337226555,"Control","Rhizosphere"
"86",3,0.769191466419253,"Control","Rhizosphere"
"87",3,0.672388615985287,"Control","Rhizosphere"
"88",3,0.770472354511164,"Pre_flowering_drought","Rhizosphere"
"89",3,0.81156363786326,"Pre_flowering_drought","Rhizosphere"
"90",3,0.746449544822625,"Pre_flowering_drought","Rhizosphere"
"91",3,0.869680829218748,"Pre_flowering_drought","Rhizosphere"
"92",3,0.814453663839418,"Control","Rhizosphere"
"93",3,0.768606612194465,"Control","Rhizosphere"
"94",3,0.828473347730767,"Control","Rhizosphere"
"95",3,0.691842557856796,"Pre_flowering_drought","Rhizosphere"
"96",3,0.693443597883455,"Pre_flowering_drought","Rhizosphere"
"97",4,0.751158838698187,"Control","Leaf"
"98",4,0.694084697523631,"Control","Leaf"
"99",4,0.738943006086933,"Pre_flowering_drought","Leaf"
"100",4,0.380003816376993,"Pre_flowering_drought","Leaf"
"101",4,0.450965379153445,"Control","Leaf"
"102",4,0.788885783124314,"Control","Leaf"
"103",4,0.7301737190292,"Pre_flowering_drought","Leaf"
"104",4,0.781142086340239,"Pre_flowering_drought","Leaf"
"105",4,0.686640383002074,"Pre_flowering_drought","Leaf"
"106",4,0.800569927261295,"Pre_flowering_drought","Leaf"
"107",4,0.740014451408549,"Control","Leaf"
"108",4,0.660739502847825,"Control","Leaf"
"109",4,0.785293339286171,"Control","Root"
"110",4,0.748555969896333,"Control","Root"
"111",4,0.767924635402298,"Control","Root"
"112",4,0.632989591112683,"Pre_flowering_drought","Root"
"113",4,0.717284683541587,"Pre_flowering_drought","Root"
"114",4,0.629270806592554,"Pre_flowering_drought","Root"
"115",4,0.700303838950058,"Pre_flowering_drought","Root"
"116",4,0.740333196758507,"Control","Root"
"117",4,0.753603060664703,"Control","Root"
"118",4,0.757934879583964,"Control","Root"
"119",4,0.694431507334747,"Pre_flowering_drought","Root"
"120",4,0.668504362172106,"Pre_flowering_drought","Root"
"121",4,0.806499969646858,"Control","Soil"
"122",4,0.879373857870987,"Control","Soil"
"123",4,0.848847514966727,"Control","Soil"
"124",4,0.894828788480476,"Pre_flowering_drought","Soil"
"125",4,0.841140956995702,"Pre_flowering_drought","Soil"
"126",4,0.890751233027356,"Pre_flowering_drought","Soil"
"127",4,0.824863704060914,"Pre_flowering_drought","Soil"
"128",4,0.732025603578775,"Control","Soil"
"129",4,0.895489939971826,"Control","Soil"
"130",4,0.889187772395662,"Control","Soil"
"131",4,0.879745591891329,"Pre_flowering_drought","Soil"
"132",4,0.831188269639666,"Pre_flowering_drought","Soil"
"133",4,0.799606521941143,"Control","Rhizosphere"
"134",4,0.773100148917903,"Control","Rhizosphere"
"135",4,0.755728511766826,"Control","Rhizosphere"
"136",4,0.716105318243177,"Pre_flowering_drought","Rhizosphere"
"137",4,0.656637480735112,"Pre_flowering_drought","Rhizosphere"
"138",4,0.596436300159972,"Pre_flowering_drought","Rhizosphere"
"139",4,0.703301014675037,"Pre_flowering_drought","Rhizosphere"
"140",4,0.813731252405697,"Control","Rhizosphere"
"141",4,0.777150344296212,"Control","Rhizosphere"
"142",4,0.859979228702745,"Control","Rhizosphere"
"143",4,0.591564730442371,"Pre_flowering_drought","Rhizosphere"
"144",4,0.569905130511207,"Pre_flowering_drought","Rhizosphere"
"145",5,0.558224370528764,"Control","Leaf"
"146",5,0.777611277496582,"Control","Leaf"
"147",5,0.786771051148377,"Pre_flowering_drought","Leaf"
