"","Fungi","Relative_Abundance","Habitat","TP","Treatment","Cultivar"
"1","Ascomycota",0.881570970195926,"Soil",0,"CON","BTx642"
"2","Ascomycota",0.630173892950628,"Leaf",1,"CON","BTx642"
"3","Ascomycota",0.86404444744113,"Rhizosphere",1,"CON","BTx642"
"4","Ascomycota",0.938558780098251,"Root",1,"CON","BTx642"
"5","Ascomycota",0.846494258143423,"Soil",1,"CON","BTx642"
"6","Ascomycota",0.909813292599601,"Leaf",2,"CON","BTx642"
"7","Ascomycota",0.699345023312246,"Rhizosphere",2,"CON","BTx642"
"8","Ascomycota",0.84103112725731,"Root",2,"CON","BTx642"
"9","Ascomycota",0.831419670410891,"Soil",2,"CON","BTx642"
"10","Ascomycota",0.901077106364063,"Leaf",3,"CON","BTx642"
"11","Ascomycota",0.886567767027729,"Rhizosphere",3,"CON","BTx642"
"12","Ascomycota",0.890360713457737,"Root",3,"CON","BTx642"
"13","Ascomycota",0.847573683529258,"Soil",3,"CON","BTx642"
"14","Ascomycota",0.560257582498185,"Leaf",4,"CON","BTx642"
"15","Ascomycota",0.910960198255651,"Rhizosphere",4,"CON","BTx642"
"16","Ascomycota",0.969753251015338,"Root",4,"CON","BTx642"
"17","Ascomycota",0.788767454138827,"Soil",4,"CON","BTx642"
"18","Ascomycota",0.844581216942471,"Leaf",5,"CON","BTx642"
"19","Ascomycota",0.873459963525985,"Rhizosphere",5,"CON","BTx642"
"20","Ascomycota",0.987200293175496,"Root",5,"CON","BTx642"
"21","Ascomycota",0.868050427620513,"Soil",5,"CON","BTx642"
"22","Ascomycota",0.774615502929076,"Leaf",6,"CON","BTx642"
"23","Ascomycota",0.918498286092561,"Rhizosphere",6,"CON","BTx642"
"24","Ascomycota",0.979934556715756,"Root",6,"CON","BTx642"
"25","Ascomycota",0.884566970542203,"Soil",6,"CON","BTx642"
"26","Ascomycota",0.559405386957726,"Leaf",7,"CON","BTx642"
"27","Ascomycota",0.928463491736639,"Rhizosphere",7,"CON","BTx642"
"28","Ascomycota",0.978534663224402,"Root",7,"CON","BTx642"
"29","Ascomycota",0.826251667389754,"Soil",7,"CON","BTx642"
"30","Ascomycota",0.652749306151223,"Leaf",8,"CON","BTx642"
"31","Ascomycota",0.918063620736667,"Rhizosphere",8,"CON","BTx642"
"32","Ascomycota",0.966452371001249,"Root",8,"CON","BTx642"
"33","Ascomycota",0.774495150767459,"Soil",8,"CON","BTx642"
"34","Ascomycota",0.61657178671823,"Leaf",9,"CON","BTx642"
"35","Ascomycota",0.843192821927047,"Rhizosphere",9,"CON","BTx642"
"36","Ascomycota",0.967540523445511,"Root",9,"CON","BTx642"
"37","Ascomycota",0.786999147247803,"Soil",9,"CON","BTx642"
"38","Ascomycota",0.574323433748715,"Leaf",10,"CON","BTx642"
"39","Ascomycota",0.916947067168357,"Rhizosphere",10,"CON","BTx642"
"40","Ascomycota",0.967904196172191,"Root",10,"CON","BTx642"
"41","Ascomycota",0.753728376000921,"Soil",10,"CON","BTx642"
"42","Ascomycota",0.574144072993494,"Leaf",11,"CON","BTx642"
"43","Ascomycota",0.932268877096908,"Rhizosphere",11,"CON","BTx642"
"44","Ascomycota",0.952669347552586,"Root",11,"CON","BTx642"
"45","Ascomycota",0.875613816726064,"Soil",11,"CON","BTx642"
"46","Ascomycota",0.588372022663114,"Leaf",12,"CON","BTx642"
"47","Ascomycota",0.936120798197493,"Rhizosphere",12,"CON","BTx642"
"48","Ascomycota",0.907628368506887,"Root",12,"CON","BTx642"
"49","Ascomycota",0.751083510478267,"Soil",12,"CON","BTx642"
"50","Ascomycota",0.653178568728355,"Leaf",13,"CON","BTx642"
"51","Ascomycota",0.907602500040682,"Rhizosphere",13,"CON","BTx642"
"52","Ascomycota",0.800031360769527,"Root",13,"CON","BTx642"
"53","Ascomycota",0.835905327846873,"Soil",13,"CON","BTx642"
"54","Ascomycota",0.701702902716139,"Leaf",14,"CON","BTx642"
"55","Ascomycota",0.91536259399087,"Rhizosphere",14,"CON","BTx642"
"56","Ascomycota",0.856020956703021,"Root",14,"CON","BTx642"
"57","Ascomycota",0.793236686028862,"Soil",14,"CON","BTx642"
"58","Ascomycota",0.746606467685768,"Leaf",15,"CON","BTx642"
"59","Ascomycota",0.883486589135067,"Rhizosphere",15,"CON","BTx642"
"60","Ascomycota",0.873269458590974,"Root",15,"CON","BTx642"
"61","Ascomycota",0.735385354156089,"Soil",15,"CON","BTx642"
"62","Ascomycota",0.768620713041907,"Leaf",16,"CON","BTx642"
"63","Ascomycota",0.90652635052619,"Rhizosphere",16,"CON","BTx642"
"64","Ascomycota",0.912205699139438,"Root",16,"CON","BTx642"
"65","Ascomycota",0.833533399817001,"Soil",16,"CON","BTx642"
"66","Ascomycota",0.823036141517729,"Leaf",17,"CON","BTx642"
"67","Ascomycota",0.932245344122373,"Rhizosphere",17,"CON","BTx642"
"68","Ascomycota",0.896326981296459,"Root",17,"CON","BTx642"
"69","Ascomycota",0.864039563081042,"Soil",17,"CON","BTx642"
"70","Ascomycota",0.878598566939681,"Soil",0,"POST","BTx642"
"71","Ascomycota",0.643278850571536,"Leaf",8,"POST","BTx642"
"72","Ascomycota",0.93671596071371,"Rhizosphere",8,"POST","BTx642"
"73","Ascomycota",0.973530702944892,"Root",8,"POST","BTx642"
"74","Ascomycota",0.79548298665102,"Soil",8,"POST","BTx642"
"75","Ascomycota",0.681310148224495,"Leaf",9,"POST","BTx642"
"76","Ascomycota",0.883920894346952,"Rhizosphere",9,"POST","BTx642"
"77","Ascomycota",0.96613733535125,"Root",9,"POST","BTx642"
"78","Ascomycota",0.740397481028456,"Soil",9,"POST","BTx642"
"79","Ascomycota",0.68530771548282,"Leaf",10,"POST","BTx642"
"80","Ascomycota",0.930197958701529,"Rhizosphere",10,"POST","BTx642"
"81","Ascomycota",0.968663350882743,"Root",10,"POST","BTx642"
"82","Ascomycota",0.791591451518868,"Soil",10,"POST","BTx642"
"83","Ascomycota",0.691263772171511,"Leaf",11,"POST","BTx642"
"84","Ascomycota",0.924638931770264,"Rhizosphere",11,"POST","BTx642"
"85","Ascomycota",0.962400562877283,"Root",11,"POST","BTx642"
"86","Ascomycota",0.870892585080923,"Soil",11,"POST","BTx642"
"87","Ascomycota",0.704612931906192,"Leaf",12,"POST","BTx642"
"88","Ascomycota",0.940256607200734,"Rhizosphere",12,"POST","BTx642"
"89","Ascomycota",0.961271638405273,"Root",12,"POST","BTx642"
"90","Ascomycota",0.822953092644945,"Soil",12,"POST","BTx642"
"91","Ascomycota",0.742967150011008,"Leaf",13,"POST","BTx642"
"92","Ascomycota",0.935347478927584,"Rhizosphere",13,"POST","BTx642"
"93","Ascomycota",0.978036154456331,"Root",13,"POST","BTx642"
"94","Ascomycota",0.822140724472078,"Soil",13,"POST","BTx642"
"95","Ascomycota",0.767080601693457,"Leaf",14,"POST","BTx642"
"96","Ascomycota",0.928693294175701,"Rhizosphere",14,"POST","BTx642"
"97","Ascomycota",0.968139178123251,"Root",14,"POST","BTx642"
"98","Ascomycota",0.741934274220744,"Soil",14,"POST","BTx642"
"99","Ascomycota",0.822943847895947,"Leaf",15,"POST","BTx642"
"100","Ascomycota",0.91075154296516,"Rhizosphere",15,"POST","BTx642"
"101","Ascomycota",0.959163637130561,"Root",15,"POST","BTx642"
"102","Ascomycota",0.833307599326133,"Soil",15,"POST","BTx642"
"103","Ascomycota",0.840293269790468,"Leaf",16,"POST","BTx642"
"104","Ascomycota",0.884643432968291,"Rhizosphere",16,"POST","BTx642"
"105","Ascomycota",0.976935870062309,"Root",16,"POST","BTx642"
"106","Ascomycota",0.813845847031491,"Soil",16,"POST","BTx642"
"107","Ascomycota",0.840344407477227,"Leaf",17,"POST","BTx642"
"108","Ascomycota",0.926181351657643,"Rhizosphere",17,"POST","BTx642"
"109","Ascomycota",0.982264145429518,"Root",17,"POST","BTx642"
"110","Ascomycota",0.897967665506371,"Soil",17,"POST","BTx642"
"111","Ascomycota",0.85370406170755,"Soil",0,"PRE","BTx642"
"112","Ascomycota",0.862177671632185,"Leaf",3,"PRE","BTx642"
"113","Ascomycota",0.819052592933196,"Rhizosphere",3,"PRE","BTx642"
"114","Ascomycota",0.944711284048438,"Root",3,"PRE","BTx642"
"115","Ascomycota",0.779034383354409,"Soil",3,"PRE","BTx642"
"116","Ascomycota",0.688437182217517,"Leaf",4,"PRE","BTx642"
"117","Ascomycota",0.940780868409865,"Rhizosphere",4,"PRE","BTx642"
"118","Ascomycota",0.978526721402801,"Root",4,"PRE","BTx642"
"119","Ascomycota",0.766053903815287,"Soil",4,"PRE","BTx642"
"120","Ascomycota",0.839821882261579,"Leaf",5,"PRE","BTx642"
"121","Ascomycota",0.961458676828286,"Rhizosphere",5,"PRE","BTx642"
"122","Ascomycota",0.992067016756063,"Root",5,"PRE","BTx642"
"123","Ascomycota",0.84084368881461,"Soil",5,"PRE","BTx642"
"124","Ascomycota",0.821444395938984,"Leaf",6,"PRE","BTx642"
"125","Ascomycota",0.968600254417084,"Rhizosphere",6,"PRE","BTx642"
"126","Ascomycota",0.989434370823607,"Root",6,"PRE","BTx642"
"127","Ascomycota",0.907863493440863,"Soil",6,"PRE","BTx642"
"128","Ascomycota",0.90716239474186,"Leaf",7,"PRE","BTx642"
"129","Ascomycota",0.960406437452649,"Rhizosphere",7,"PRE","BTx642"
"130","Ascomycota",0.991102880309992,"Root",7,"PRE","BTx642"
"131","Ascomycota",0.8638949361576,"Soil",7,"PRE","BTx642"
"132","Ascomycota",0.839397332910677,"Leaf",8,"PRE","BTx642"
"133","Ascomycota",0.959334895827082,"Rhizosphere",8,"PRE","BTx642"
"134","Ascomycota",0.982981853037675,"Root",8,"PRE","BTx642"
"135","Ascomycota",0.822605404494423,"Soil",8,"PRE","BTx642"
"136","Ascomycota",0.403416703374114,"Leaf",9,"PRE","BTx642"
"137","Ascomycota",0.940580249110606,"Rhizosphere",9,"PRE","BTx642"
"138","Ascomycota",0.991134066729609,"Root",9,"PRE","BTx642"
"139","Ascomycota",0.788107447207494,"Soil",9,"PRE","BTx642"
"140","Ascomycota",0.413223959989574,"Leaf",10,"PRE","BTx642"
"141","Ascomycota",0.909027934654851,"Rhizosphere",10,"PRE","BTx642"
"142","Ascomycota",0.992584030762377,"Root",10,"PRE","BTx642"
"143","Ascomycota",0.827020699942158,"Soil",10,"PRE","BTx642"
"144","Ascomycota",0.749048591114684,"Leaf",11,"PRE","BTx642"
"145","Ascomycota",0.96591742922407,"Rhizosphere",11,"PRE","BTx642"
"146","Ascomycota",0.990684662900275,"Root",11,"PRE","BTx642"
"147","Ascomycota",0.909033254573732,"Soil",11,"PRE","BTx642"
"148","Ascomycota",0.671919544250843,"Leaf",12,"PRE","BTx642"
"149","Ascomycota",0.932606069275196,"Rhizosphere",12,"PRE","BTx642"
"150","Ascomycota",0.982177869090138,"Root",12,"PRE","BTx642"
"151","Ascomycota",0.868724156890505,"Soil",12,"PRE","BTx642"
"152","Ascomycota",0.648979814129254,"Leaf",13,"PRE","BTx642"
"153","Ascomycota",0.928866453791287,"Rhizosphere",13,"PRE","BTx642"
"154","Ascomycota",0.975467499370095,"Root",13,"PRE","BTx642"
"155","Ascomycota",0.871088795938389,"Soil",13,"PRE","BTx642"
"156","Ascomycota",0.627494340640565,"Leaf",14,"PRE","BTx642"
"157","Ascomycota",0.910861002408866,"Rhizosphere",14,"PRE","BTx642"
"158","Ascomycota",0.948138768063589,"Root",14,"PRE","BTx642"
"159","Ascomycota",0.781302933947536,"Soil",14,"PRE","BTx642"
"160","Ascomycota",0.649078231163861,"Leaf",15,"PRE","BTx642"
"161","Ascomycota",0.912897474086696,"Rhizosphere",15,"PRE","BTx642"
"162","Ascomycota",0.960439372797243,"Root",15,"PRE","BTx642"
"163","Ascomycota",0.776494219296385,"Soil",15,"PRE","BTx642"
"164","Ascomycota",0.664081506062936,"Leaf",16,"PRE","BTx642"
"165","Ascomycota",0.930580673598284,"Rhizosphere",16,"PRE","BTx642"
"166","Ascomycota",0.950901244994979,"Root",16,"PRE","BTx642"
"167","Ascomycota",0.900121164112857,"Soil",16,"PRE","BTx642"
"168","Ascomycota",0.733349405711579,"Leaf",17,"PRE","BTx642"
"169","Ascomycota",0.936335730574776,"Rhizosphere",17,"PRE","BTx642"
"170","Ascomycota",0.919274859346815,"Root",17,"PRE","BTx642"
"171","Ascomycota",0.836959951218487,"Soil",17,"PRE","BTx642"
"172","Ascomycota",0.837285647600904,"Soil",0,"CON","RTx430"
"173","Ascomycota",0.433105795283455,"Leaf",1,"CON","RTx430"
"174","Ascomycota",0.852170849724174,"Rhizosphere",1,"CON","RTx430"
"175","Ascomycota",0.917790895997126,"Root",1,"CON","RTx430"
"176","Ascomycota",0.822360107528369,"Soil",1,"CON","RTx430"
"177","Ascomycota",0.902211001995179,"Leaf",2,"CON","RTx430"
"178","Ascomycota",0.731070121350426,"Rhizosphere",2,"CON","RTx430"
"179","Ascomycota",0.799333057060834,"Root",2,"CON","RTx430"
"180","Ascomycota",0.849558471073834,"Soil",2,"CON","RTx430"
"181","Ascomycota",0.873951664546389,"Leaf",3,"CON","RTx430"
"182","Ascomycota",0.802409772718716,"Rhizosphere",3,"CON","RTx430"
"183","Ascomycota",0.950968978197651,"Root",3,"CON","RTx430"
"184","Ascomycota",0.8214878540656,"Soil",3,"CON","RTx430"
"185","Ascomycota",0.728819342562594,"Leaf",4,"CON","RTx430"
"186","Ascomycota",0.890185053306056,"Rhizosphere",4,"CON","RTx430"
"187","Ascomycota",0.963020942077287,"Root",4,"CON","RTx430"
"188","Ascomycota",0.763919237751187,"Soil",4,"CON","RTx430"
"189","Ascomycota",0.584721301521012,"Leaf",5,"CON","RTx430"
"190","Ascomycota",0.886066244295219,"Rhizosphere",5,"CON","RTx430"
"191","Ascomycota",0.961317684693269,"Root",5,"CON","RTx430"
"192","Ascomycota",0.781695651112498,"Soil",5,"CON","RTx430"
"193","Ascomycota",0.561887357962313,"Leaf",6,"CON","RTx430"
"194","Ascomycota",0.877975293776818,"Rhizosphere",6,"CON","RTx430"
"195","Ascomycota",0.975177508319833,"Root",6,"CON","RTx430"
"196","Ascomycota",0.832348960966174,"Soil",6,"CON","RTx430"
"197","Ascomycota",0.317382325167444,"Leaf",7,"CON","RTx430"
"198","Ascomycota",0.899375467747046,"Rhizosphere",7,"CON","RTx430"
"199","Ascomycota",0.969897388261195,"Root",7,"CON","RTx430"
"200","Ascomycota",0.817088281251414,"Soil",7,"CON","RTx430"
"201","Ascomycota",0.588923732823407,"Leaf",8,"CON","RTx430"
"202","Ascomycota",0.868596075754002,"Rhizosphere",8,"CON","RTx430"
"203","Ascomycota",0.926916353366571,"Root",8,"CON","RTx430"
"204","Ascomycota",0.746932522730735,"Soil",8,"CON","RTx430"
"205","Ascomycota",0.649603604755919,"Leaf",9,"CON","RTx430"
"206","Ascomycota",0.837384838873629,"Rhizosphere",9,"CON","RTx430"
"207","Ascomycota",0.9423535562407,"Root",9,"CON","RTx430"
"208","Ascomycota",0.790215296301087,"Soil",9,"CON","RTx430"
"209","Ascomycota",0.672533262742576,"Leaf",10,"CON","RTx430"
"210","Ascomycota",0.892200655591771,"Rhizosphere",10,"CON","RTx430"
"211","Ascomycota",0.94338789949957,"Root",10,"CON","RTx430"
"212","Ascomycota",0.693943272716709,"Soil",10,"CON","RTx430"
