"","PC1","PC2","Habitat","TP"
"TP01L01",-13.3966526829625,10.9167530764279,"Leaf",1
"TP01L02",-16.870487049938,10.9205998784509,"Leaf",1
"TP01L11",-14.1147347118511,9.63592706274589,"Leaf",1
"TP01L12",-17.7242803098705,7.99260064560141,"Leaf",1
"TP01L19",-31.0504998041326,-3.43348639585932,"Leaf",1
"TP01L20",-23.4416602364123,-5.73546638774433,"Leaf",1
"TP01R1",-10.9108901310047,12.327036139843,"Root",1
"TP01R11",-2.00786182819096,16.4542618049476,"Root",1
"TP01R12",-11.8401485239665,13.4015779322775,"Root",1
"TP01R19",-11.9497369159083,16.4744866834276,"Root",1
"TP01R2",-12.1601270424389,15.1474193248253,"Root",1
"TP01R20",-13.3126257633789,11.8801424225413,"Root",1
"TP01S1",35.2786375264324,-13.0314193636859,"Soil",1
"TP01S11",33.3140759473401,-12.9797474969556,"Soil",1
"TP01S12",41.4166665286951,-15.257827048629,"Soil",1
"TP01S19",31.420048138026,-12.2129094229419,"Soil",1
"TP01S2",37.1349739037266,-15.3712795284589,"Soil",1
"TP01S20",33.4094052063381,-12.4798548247805,"Soil",1
"TP01Z1",25.0565845792322,-6.09648126745308,"Rhizosphere",1
"TP01Z11",30.069351894528,-6.6077396143307,"Rhizosphere",1
"TP01Z12",24.2749017835598,-4.93262416563844,"Rhizosphere",1
"TP01Z19",26.9223330737846,-3.03445405365122,"Rhizosphere",1
"TP01Z2",18.5082492340987,-3.43077659001629,"Rhizosphere",1
"TP01Z20",26.68544465623,-5.00204715932428,"Rhizosphere",1
"TP02L01t",-33.9515980965833,-8.54513033207408,"Leaf",2
"TP02L02",-38.4575150061133,-11.2125400987066,"Leaf",2
"TP02L11",-33.3652011383503,-6.95558550724235,"Leaf",2
"TP02L12",-29.4186402903794,-1.05935622881345,"Leaf",2
"TP02L19",-22.2942123644777,7.11237944544485,"Leaf",2
"TP02L20t",-35.0442877911549,-7.28732432969231,"Leaf",2
"TP02R1",9.19634559853296,7.30675476150495,"Root",2
"TP02R11t",25.7409075913366,-5.92970479225333,"Root",2
"TP02R12",9.33570626202126,9.69071453270349,"Root",2
"TP02R19",5.12294947984387,10.0735126779269,"Root",2
"TP02R2",-9.82120571233897,6.95315078206468,"Root",2
"TP02R20",12.107149195775,5.6279117008739,"Root",2
"TP02S1",32.6164857600633,-11.7020154234301,"Soil",2
"TP02S11",32.5221469371612,-11.3125715978244,"Soil",2
"TP02S12",33.3805735840223,-13.1897864082284,"Soil",2
"TP02S19",32.9820641317792,-12.592784447968,"Soil",2
"TP02S2",34.5028677502237,-13.9501947204425,"Soil",2
