"","row","col","value"
"18",1,2,0.567901234567901
"35",1,3,0.483660130718954
"36",2,3,0.554347826086957
"52",1,4,0.602409638554217
"53",2,4,0.628865979381443
"54",3,4,0.585106382978723
"69",1,5,0.576687116564417
"70",2,5,0.6
"71",3,5,0.56989247311828
"72",4,5,0.592592592592593
"86",1,6,0.610778443113772
"87",2,6,0.562162162162162
"88",3,6,0.540540540540541
"89",4,6,0.554347826086957
"90",5,6,0.554347826086957
"103",1,7,0.658064516129032
"104",2,7,0.56551724137931
"105",3,7,0.555555555555556
"106",4,7,0.545454545454545
"107",5,7,0.604026845637584
"108",6,7,0.514285714285714
"120",1,8,0.64957264957265
"121",2,8,0.601769911504425
"122",3,8,0.537037037037037
"123",4,8,0.480769230769231
"124",5,8,0.661016949152542
"125",6,8,0.55045871559633
"126",7,8,0.563636363636364
"137",1,9,0.732142857142857
"138",2,9,0.594059405940594
"139",3,9,0.565656565656566
"140",4,9,0.505263157894737
"141",5,9,0.621359223300971
"142",6,9,0.505263157894737
"143",7,9,0.536082474226804
"144",8,9,0.647619047619048
"154",1,10,0.730769230769231
"155",2,10,0.595744680851064
"156",3,10,0.549450549450549
"157",4,10,0.533333333333333
"158",5,10,0.610526315789474
"159",6,10,0.549450549450549
"160",7,10,0.5
"161",8,10,0.610526315789474
"162",9,10,0.51685393258427
"171",1,11,0.710743801652893
"172",2,11,0.607142857142857
"173",3,11,0.568807339449541
"174",4,11,0.607142857142857
"175",5,11,0.581818181818182
"176",6,11,0.528301886792453
"177",7,11,0.607142857142857
"178",8,11,0.7
"179",9,11,0.594059405940594
"180",10,11,0.5
"188",1,12,0.740740740740741
"189",2,12,0.563380281690141
"190",3,12,0.563380281690141
"191",4,12,0.521739130434783
"192",5,12,0.563380281690141
"193",6,12,0.542857142857143
"194",7,12,0.454545454545455
"195",8,12,0.521739130434783
"196",9,12,0.40625
"197",10,12,0.380952380952381
"198",11,12,0.178571428571429
"205",1,13,0.741573033707865
"206",2,13,0.545454545454545
"207",3,13,0.6
"208",4,13,0.564102564102564
"209",5,13,0.6
"210",6,13,0.582278481012658
"211",7,13,0.506666666666667
"212",8,13,0.634146341463415
"213",9,13,0.506666666666667
"214",10,13,0.422535211267606
"215",11,13,0.444444444444444
"216",12,13,0.380952380952381
"222",1,14,0.761904761904762
"223",2,14,0.492753623188406
"224",3,14,0.514285714285714
"225",4,14,0.555555555555556
"226",5,14,0.631578947368421
"227",6,14,0.535211267605634
"228",7,14,0.514285714285714
"229",8,14,0.594594594594595
"230",9,14,0.470588235294118
"231",10,14,0.4
"232",11,14,0.4
"233",12,14,0.454545454545455
"234",13,14,0.424242424242424
"239",1,15,0.709677419354839
"240",2,15,0.571428571428571
"241",3,15,0.55421686746988
"242",4,15,0.571428571428571
"243",5,15,0.620689655172414
"244",6,15,0.571428571428571
"245",7,15,0.588235294117647
"246",8,15,0.588235294117647
"247",9,15,0.518518518518518
"248",10,15,0.5
"249",11,15,0.441558441558442
"250",12,15,0.3
"251",13,15,0.486486486486487
"252",14,15,0.447761194029851
"256",1,16,0.733333333333333
"257",2,16,0.609756097560976
"258",3,16,0.575
"259",4,16,0.538461538461538
"260",5,16,0.642857142857143
"261",6,16,0.556962025316456
"262",7,16,0.556962025316456
"263",8,16,0.592592592592593
"264",9,16,0.459459459459459
"265",10,16,0.438356164383562
"266",11,16,0.5
"267",12,16,0.454545454545455
"268",13,16,0.506666666666667
"269",14,16,0.492753623188406
"270",15,16,0.5
"273",1,17,0.76056338028169
"274",2,17,0.625
"275",3,17,0.603174603174603
"276",4,17,0.557377049180328
"277",5,17,0.646153846153846
"278",6,17,0.533333333333333
"279",7,17,0.580645161290323
"280",8,17,0.603174603174603
"281",9,17,0.508474576271186
"282",10,17,0.533333333333333
"283",11,17,0.4
"284",12,17,0.428571428571429
"285",13,17,0.508474576271186
"286",14,17,0.482758620689655
"287",15,17,0.533333333333333
"288",16,17,0.508474576271186
