"","row","col","value"
"18",1,2,0.409836065573771
"35",1,3,0.46031746031746
"36",2,3,0.453900709219858
"52",1,4,0.532258064516129
"53",2,4,0.330275229357798
"54",3,4,0.431034482758621
"69",1,5,0.523364485981308
"70",2,5,0.371134020618557
"71",3,5,0.42
"72",4,5,0.354166666666667
"86",1,6,0.556701030927835
"87",2,6,0.444444444444444
"88",3,6,0.541666666666667
"89",4,6,0.51063829787234
"90",5,6,0.526315789473684
"103",1,7,0.452380952380952
"104",2,7,0.354430379746835
"105",3,7,0.452380952380952
"106",4,7,0.452380952380952
"107",5,7,0.555555555555556
"108",6,7,0.539325842696629
"120",1,8,0.519230769230769
"121",2,8,0.504854368932039
"122",3,8,0.519230769230769
"123",4,8,0.587155963302752
"124",5,8,0.587155963302752
"125",6,8,0.541666666666667
"126",7,8,0.522727272727273
"137",1,9,0.535714285714286
"138",2,9,0.467289719626168
"139",3,9,0.535714285714286
"140",4,9,0.598290598290598
"141",5,9,0.64957264957265
"142",6,9,0.541666666666667
"143",7,9,0.505747126436782
"144",8,9,0.490196078431373
"154",1,10,0.521739130434783
"155",2,10,0.495575221238938
"156",3,10,0.482142857142857
"157",4,10,0.571428571428571
"158",5,10,0.601769911504425
"159",6,10,0.478260869565217
"160",7,10,0.505747126436782
"161",8,10,0.490196078431373
"162",9,10,0.509090909090909
"171",1,11,0.535714285714286
"172",2,11,0.56140350877193
"173",3,11,0.573913043478261
"174",4,11,0.644628099173554
"175",5,11,0.661016949152542
"176",6,11,0.556701030927835
"177",7,11,0.505747126436782
"178",8,11,0.490196078431373
"179",9,11,0.535714285714286
"180",10,11,0.495412844036697
"188",1,12,0.643356643356643
"189",2,12,0.7
"190",3,12,0.708074534161491
"191",4,12,0.744827586206897
"192",5,12,0.704918032786885
"193",6,12,0.541666666666667
"194",7,12,0.539325842696629
"195",8,12,0.490196078431373
"196",9,12,0.481481481481481
"197",10,12,0.508771929824561
"198",11,12,0.481481481481481
"205",1,13,0.647887323943662
"206",2,13,0.638297872340426
"207",3,13,0.608695652173913
"208",4,13,0.709219858156028
"209",5,13,0.683333333333333
"210",6,13,0.541666666666667
"211",7,13,0.522727272727273
"212",8,13,0.504854368932039
"213",9,13,0.467289719626168
"214",10,13,0.495575221238938
"215",11,13,0.423076923076923
"216",12,13,0.464
"222",1,14,0.662068965517241
"223",2,14,0.629370629370629
"224",3,14,0.638888888888889
"225",4,14,0.7
"226",5,14,0.661016949152542
"227",6,14,0.51063829787234
"228",7,14,0.488372093023256
"229",8,14,0.475247524752475
"230",9,14,0.495412844036697
"231",10,14,0.454545454545455
"232",11,14,0.423076923076923
"233",12,14,0.50381679389313
"234",13,14,0.451612903225806
"239",1,15,0.689189189189189
"240",2,15,0.662251655629139
"241",3,15,0.679738562091503
"242",4,15,0.744827586206897
"243",5,15,0.715447154471545
"244",6,15,0.571428571428571
"245",7,15,0.522727272727273
"246",8,15,0.504854368932039
"247",9,15,0.522522522522523
"248",10,15,0.482142857142857
"249",11,15,0.438095238095238
"250",12,15,0.458015267175573
"251",13,15,0.38655462184874
"252",14,15,0.419354838709677
"256",1,16,0.680555555555556
"257",2,16,0.716216216216216
"258",3,16,0.680555555555556
"259",4,16,0.744827586206897
"260",5,16,0.736
"261",6,16,0.613861386138614
"262",7,16,0.602150537634409
"263",8,16,0.560747663551402
"264",9,16,0.573913043478261
"265",10,16,0.617886178861789
"266",11,16,0.522522522522523
"267",12,16,0.492063492063492
"268",13,16,0.492063492063492
"269",14,16,0.527131782945736
"270",15,16,0.503937007874016
"273",1,17,0.671232876712329
"274",2,17,0.705202312138728
"275",3,17,0.725146198830409
"276",4,17,0.753424657534247
"277",5,17,0.725806451612903
"278",6,17,0.571428571428571
"279",7,17,0.617021276595745
"280",8,17,0.574074074074074
"281",9,17,0.522522522522523
"282",10,17,0.571428571428571
"283",11,17,0.392156862745098
"284",12,17,0.492753623188406
"285",13,17,0.413223140495868
"286",14,17,0.419354838709677
"287",15,17,0.396825396825397
"288",16,17,0.455284552845528
