"","row","col","value"
"19",0,1,0.433070866141732
"37",0,2,0.401574803149606
"38",1,2,0.433070866141732
"55",0,3,0.449612403100775
"56",1,3,0.480916030534351
"57",2,3,0.41897233201581
"73",0,4,0.442622950819672
"74",1,4,0.48605577689243
"75",2,4,0.376068376068376
"76",3,4,0.448979591836735
"91",0,5,0.450381679389313
"92",1,5,0.469230769230769
"93",2,5,0.42962962962963
"94",3,5,0.425196850393701
"95",4,5,0.429752066115702
"109",0,6,0.473684210526316
"110",1,6,0.486692015209125
"111",2,6,0.436781609195402
"112",3,6,0.479087452471483
"113",4,6,0.48605577689243
"114",5,6,0.448669201520913
"127",0,7,0.473684210526316
"128",1,7,0.43921568627451
"129",2,7,0.412451361867704
"130",3,7,0.455598455598456
"131",4,7,0.39662447257384
"132",5,7,0.412451361867704
"133",6,7,0.418604651162791
"145",0,8,0.490706319702602
"146",1,8,0.457364341085271
"147",2,8,0.454212454212454
"148",3,8,0.425196850393701
"149",4,8,0.429752066115702
"150",5,8,0.44280442804428
"151",6,8,0.5
"152",7,8,0.454545454545455
"163",0,9,0.467924528301887
"164",1,9,0.4453125
"165",2,9,0.457564575645756
"166",3,9,0.50187265917603
"167",4,9,0.461538461538462
"168",5,9,0.490974729241877
"169",6,9,0.505494505494505
"170",7,9,0.466165413533835
"171",8,9,0.463235294117647
"181",0,10,0.462121212121212
"182",1,10,0.480916030534351
"183",2,10,0.485714285714286
"184",3,10,0.461538461538462
"185",4,10,0.48
"186",5,10,0.511945392491468
"187",6,10,0.488888888888889
"188",7,10,0.494464944649447
"189",8,10,0.471014492753623
"190",9,10,0.468864468864469
"199",0,11,0.518248175182482
"200",1,11,0.520446096654275
"201",2,11,0.5
"202",3,11,0.484848484848485
"203",4,11,0.48
"204",5,11,0.516363636363636
"205",6,11,0.532374100719424
"206",7,11,0.532374100719424
"207",8,11,0.505494505494505
"208",9,11,0.483271375464684
"209",10,11,0.436781609195402
"217",0,12,0.490706319702602
"218",1,12,0.49811320754717
"219",2,12,0.480286738351254
"220",3,12,0.496240601503759
"221",4,12,0.442622950819672
"222",5,12,0.51877133105802
"223",6,12,0.466165413533835
"224",7,12,0.466165413533835
"225",8,12,0.476534296028881
"226",9,12,0.451851851851852
"227",10,12,0.508591065292096
"228",11,12,0.448669201520913
"235",0,13,0.585365853658537
"236",1,13,0.547445255474453
"237",2,13,0.553191489361702
"238",3,13,0.534798534798535
"239",4,13,0.515625
"240",5,13,0.537634408602151
"241",6,13,0.537634408602151
"242",7,13,0.516363636363636
"243",8,13,0.553191489361702
"244",9,13,0.532374100719424
"245",10,13,0.516363636363636
"246",11,13,0.488888888888889
"247",12,13,0.442748091603053
"253",0,14,0.550724637681159
"254",1,14,0.536764705882353
"255",2,14,0.50187265917603
"256",3,14,0.523985239852399
"257",4,14,0.521400778210117
"258",5,14,0.507462686567164
"259",6,14,0.555956678700361
"260",7,14,0.513011152416357
"261",8,14,0.507462686567164
"262",9,14,0.473282442748092
"263",10,14,0.523985239852399
"264",11,14,0.479087452471483
"265",12,14,0.412698412698413
"266",13,14,0.513011152416357
"271",0,15,0.528985507246377
"272",1,15,0.520446096654275
"273",2,15,0.542955326460481
"274",3,15,0.523985239852399
"275",4,15,0.492063492063492
"276",5,15,0.532423208191126
"277",6,15,0.542857142857143
"278",7,15,0.483271375464684
"279",8,15,0.482014388489209
"280",9,15,0.48
"281",10,15,0.517241379310345
"282",11,15,0.442748091603053
"283",12,15,0.419117647058824
"284",13,15,0.488888888888889
"285",14,15,0.41897233201581
"289",0,16,0.560283687943262
"290",1,16,0.547445255474453
"291",2,16,0.567567567567568
"292",3,16,0.513011152416357
"293",4,16,0.527131782945736
"294",5,16,0.565789473684211
"295",6,16,0.558303886925795
"296",7,16,0.532374100719424
"297",8,16,0.529616724738676
"298",9,16,0.512455516014235
"299",10,16,0.530201342281879
"300",11,16,0.471910112359551
"301",12,16,0.47719298245614
"302",13,16,0.448669201520913
"303",14,16,0.507462686567164
"304",15,16,0.496503496503497
"307",0,17,0.619047619047619
"308",1,17,0.603508771929825
"309",2,17,0.583333333333333
"310",3,17,0.566308243727599
"311",4,17,0.587360594795539
"312",5,17,0.548042704626335
"313",6,17,0.573426573426573
"314",7,17,0.593103448275862
"315",8,17,0.521739130434783
"316",9,17,0.532374100719424
"317",10,17,0.521739130434783
"318",11,17,0.510948905109489
"319",12,17,0.471910112359551
"320",13,17,0.494464944649447
"321",14,17,0.443579766536965
"322",15,17,0.448669201520913
"323",16,17,0.466165413533835
