"","row","col","value","row1_1","row1_2","col1_1","col1_2"
"1","TP10.Control","TP10.Post_flowering_drought",0.482758620689655,10,"Control",10,"Post_flowering_drought"
"2","TP11.Control","TP10.Post_flowering_drought",0.488888888888889,11,"Control",10,"Post_flowering_drought"
"3","TP12.Control","TP10.Post_flowering_drought",0.327868852459016,12,"Control",10,"Post_flowering_drought"
"4","TP13.Control","TP10.Post_flowering_drought",0.422535211267606,13,"Control",10,"Post_flowering_drought"
"5","TP14.Control","TP10.Post_flowering_drought",0.32258064516129,14,"Control",10,"Post_flowering_drought"
"6","TP15.Control","TP10.Post_flowering_drought",0.518518518518518,15,"Control",10,"Post_flowering_drought"
"7","TP16.Control","TP10.Post_flowering_drought",0.438356164383562,16,"Control",10,"Post_flowering_drought"
"8","TP17.Control","TP10.Post_flowering_drought",0.456140350877193,17,"Control",10,"Post_flowering_drought"
"9","TP10.Control","TP11.Post_flowering_drought",0.533333333333333,10,"Control",11,"Post_flowering_drought"
"10","TP11.Control","TP11.Post_flowering_drought",0.424242424242424,11,"Control",11,"Post_flowering_drought"
"11","TP12.Control","TP11.Post_flowering_drought",0.3,12,"Control",11,"Post_flowering_drought"
"12","TP13.Control","TP11.Post_flowering_drought",0.4,13,"Control",11,"Post_flowering_drought"
"13","TP14.Control","TP11.Post_flowering_drought",0.424242424242424,14,"Control",11,"Post_flowering_drought"
"14","TP15.Control","TP11.Post_flowering_drought",0.4,15,"Control",11,"Post_flowering_drought"
"15","TP16.Control","TP11.Post_flowering_drought",0.538461538461538,16,"Control",11,"Post_flowering_drought"
"16","TP17.Control","TP11.Post_flowering_drought",0.456140350877193,17,"Control",11,"Post_flowering_drought"
"17","TP10.Control","TP12.Post_flowering_drought",0.4375,10,"Control",12,"Post_flowering_drought"
"18","TP11.Control","TP12.Post_flowering_drought",0.387096774193548,11,"Control",12,"Post_flowering_drought"
"19","TP12.Control","TP12.Post_flowering_drought",0.4375,12,"Control",12,"Post_flowering_drought"
"20","TP13.Control","TP12.Post_flowering_drought",0.4375,13,"Control",12,"Post_flowering_drought"
"21","TP14.Control","TP12.Post_flowering_drought",0.484848484848485,14,"Control",12,"Post_flowering_drought"
"22","TP15.Control","TP12.Post_flowering_drought",0.4375,15,"Control",12,"Post_flowering_drought"
"23","TP16.Control","TP12.Post_flowering_drought",0.484848484848485,16,"Control",12,"Post_flowering_drought"
"24","TP17.Control","TP12.Post_flowering_drought",0.428571428571429,17,"Control",12,"Post_flowering_drought"
"25","TP10.Control","TP13.Post_flowering_drought",0.51219512195122,10,"Control",13,"Post_flowering_drought"
"26","TP11.Control","TP13.Post_flowering_drought",0.493827160493827,11,"Control",13,"Post_flowering_drought"
"27","TP12.Control","TP13.Post_flowering_drought",0.430769230769231,12,"Control",13,"Post_flowering_drought"
"28","TP13.Control","TP13.Post_flowering_drought",0.486486486486487,13,"Control",13,"Post_flowering_drought"
"29","TP14.Control","TP13.Post_flowering_drought",0.424242424242424,14,"Control",13,"Post_flowering_drought"
"30","TP15.Control","TP13.Post_flowering_drought",0.518518518518518,15,"Control",13,"Post_flowering_drought"
"31","TP16.Control","TP13.Post_flowering_drought",0.538461538461538,16,"Control",13,"Post_flowering_drought"
"32","TP17.Control","TP13.Post_flowering_drought",0.456140350877193,17,"Control",13,"Post_flowering_drought"
"33","TP10.Control","TP14.Post_flowering_drought",0.392857142857143,10,"Control",14,"Post_flowering_drought"
"34","TP11.Control","TP14.Post_flowering_drought",0.392857142857143,11,"Control",14,"Post_flowering_drought"
"35","TP12.Control","TP14.Post_flowering_drought",0.448275862068966,12,"Control",14,"Post_flowering_drought"
"36","TP13.Control","TP14.Post_flowering_drought",0.392857142857143,13,"Control",14,"Post_flowering_drought"
"37","TP14.Control","TP14.Post_flowering_drought",0.363636363636364,14,"Control",14,"Post_flowering_drought"
"38","TP15.Control","TP14.Post_flowering_drought",0.333333333333333,15,"Control",14,"Post_flowering_drought"
"39","TP16.Control","TP14.Post_flowering_drought",0.392857142857143,16,"Control",14,"Post_flowering_drought"
"40","TP17.Control","TP14.Post_flowering_drought",0.557377049180328,17,"Control",14,"Post_flowering_drought"
"41","TP10.Control","TP15.Post_flowering_drought",0.444444444444444,10,"Control",15,"Post_flowering_drought"
"42","TP11.Control","TP15.Post_flowering_drought",0.444444444444444,11,"Control",15,"Post_flowering_drought"
"43","TP12.Control","TP15.Post_flowering_drought",0.415094339622642,12,"Control",15,"Post_flowering_drought"
"44","TP13.Control","TP15.Post_flowering_drought",0.415094339622642,13,"Control",15,"Post_flowering_drought"
"45","TP14.Control","TP15.Post_flowering_drought",0.444444444444444,14,"Control",15,"Post_flowering_drought"
"46","TP15.Control","TP15.Post_flowering_drought",0.415094339622642,15,"Control",15,"Post_flowering_drought"
"47","TP16.Control","TP15.Post_flowering_drought",0.5,16,"Control",15,"Post_flowering_drought"
"48","TP17.Control","TP15.Post_flowering_drought",0.576271186440678,17,"Control",15,"Post_flowering_drought"
"49","TP10.Control","TP16.Post_flowering_drought",0.294117647058824,10,"Control",16,"Post_flowering_drought"
"50","TP11.Control","TP16.Post_flowering_drought",0.242424242424242,11,"Control",16,"Post_flowering_drought"
"51","TP12.Control","TP16.Post_flowering_drought",0.342857142857143,12,"Control",16,"Post_flowering_drought"
"52","TP13.Control","TP16.Post_flowering_drought",0.342857142857143,13,"Control",16,"Post_flowering_drought"
"53","TP14.Control","TP16.Post_flowering_drought",0.342857142857143,14,"Control",16,"Post_flowering_drought"
"54","TP15.Control","TP16.Post_flowering_drought",0.242424242424242,15,"Control",16,"Post_flowering_drought"
"55","TP16.Control","TP16.Post_flowering_drought",0.242424242424242,16,"Control",16,"Post_flowering_drought"
"56","TP17.Control","TP16.Post_flowering_drought",0.432432432432432,17,"Control",16,"Post_flowering_drought"
"57","TP10.Control","TP17.Post_flowering_drought",0.35,10,"Control",17,"Post_flowering_drought"
"58","TP11.Control","TP17.Post_flowering_drought",0.307692307692308,11,"Control",17,"Post_flowering_drought"
"59","TP12.Control","TP17.Post_flowering_drought",0.390243902439024,12,"Control",17,"Post_flowering_drought"
"60","TP13.Control","TP17.Post_flowering_drought",0.390243902439024,13,"Control",17,"Post_flowering_drought"
"61","TP14.Control","TP17.Post_flowering_drought",0.307692307692308,14,"Control",17,"Post_flowering_drought"
"62","TP15.Control","TP17.Post_flowering_drought",0.390243902439024,15,"Control",17,"Post_flowering_drought"
"63","TP16.Control","TP17.Post_flowering_drought",0.428571428571429,16,"Control",17,"Post_flowering_drought"
"64","TP17.Control","TP17.Post_flowering_drought",0.533333333333333,17,"Control",17,"Post_flowering_drought"
