"","row","col","value","row1_1","row1_2","col1_1","col1_2"
"1","TP10.Control","TP10.Post_flowering_drought",0.521739130434783,10,"Control",10,"Post_flowering_drought"
"2","TP11.Control","TP10.Post_flowering_drought",0.488888888888889,11,"Control",10,"Post_flowering_drought"
"3","TP12.Control","TP10.Post_flowering_drought",0.454545454545455,12,"Control",10,"Post_flowering_drought"
"4","TP13.Control","TP10.Post_flowering_drought",0.454545454545455,13,"Control",10,"Post_flowering_drought"
"5","TP14.Control","TP10.Post_flowering_drought",0.454545454545455,14,"Control",10,"Post_flowering_drought"
"6","TP15.Control","TP10.Post_flowering_drought",0.505494505494505,15,"Control",10,"Post_flowering_drought"
"7","TP16.Control","TP10.Post_flowering_drought",0.583333333333333,16,"Control",10,"Post_flowering_drought"
"8","TP17.Control","TP10.Post_flowering_drought",0.505494505494505,17,"Control",10,"Post_flowering_drought"
"9","TP10.Control","TP11.Post_flowering_drought",0.485436893203884,10,"Control",11,"Post_flowering_drought"
"10","TP11.Control","TP11.Post_flowering_drought",0.424242424242424,11,"Control",11,"Post_flowering_drought"
"11","TP12.Control","TP11.Post_flowering_drought",0.470588235294118,12,"Control",11,"Post_flowering_drought"
"12","TP13.Control","TP11.Post_flowering_drought",0.470588235294118,13,"Control",11,"Post_flowering_drought"
"13","TP14.Control","TP11.Post_flowering_drought",0.408163265306122,14,"Control",11,"Post_flowering_drought"
"14","TP15.Control","TP11.Post_flowering_drought",0.424242424242424,15,"Control",11,"Post_flowering_drought"
"15","TP16.Control","TP11.Post_flowering_drought",0.514285714285714,16,"Control",11,"Post_flowering_drought"
"16","TP17.Control","TP11.Post_flowering_drought",0.455445544554455,17,"Control",11,"Post_flowering_drought"
"17","TP10.Control","TP12.Post_flowering_drought",0.505747126436782,10,"Control",12,"Post_flowering_drought"
"18","TP11.Control","TP12.Post_flowering_drought",0.452380952380952,11,"Control",12,"Post_flowering_drought"
"19","TP12.Control","TP12.Post_flowering_drought",0.395061728395062,12,"Control",12,"Post_flowering_drought"
