"","row","col","value"
"11",8,9,0.489795918367347
"21",8,10,0.436781609195402
"22",9,10,0.568421052631579
"31",8,11,0.485436893203884
"32",9,11,0.391304347826087
"33",10,11,0.471910112359551
"41",8,12,0.470588235294118
"42",9,12,0.488372093023256
"43",10,12,0.555555555555556
"44",11,12,0.452380952380952
"51",8,13,0.488372093023256
"52",9,13,0.488372093023256
"53",10,13,0.539325842696629
"54",11,13,0.395061728395062
"55",12,13,0.452380952380952
"61",8,14,0.48936170212766
"62",9,14,0.456521739130435
"63",10,14,0.521739130434783
"64",11,14,0.404494382022472
"65",12,14,0.452380952380952
"66",13,14,0.433734939759036
"71",8,15,0.520547945205479
"72",9,15,0.47887323943662
"73",10,15,0.47887323943662
"74",11,15,0.411764705882353
"75",12,15,0.434782608695652
"76",13,15,0.457142857142857
"77",14,15,0.411764705882353
"81",8,16,0.511111111111111
"82",9,16,0.49438202247191
"83",10,16,0.574468085106383
"84",11,16,0.477272727272727
"85",12,16,0.539325842696629
"86",13,16,0.555555555555556
"87",14,16,0.49438202247191
"88",15,16,0.520547945205479
"91",8,17,0.543478260869565
"92",9,17,0.543478260869565
"93",10,17,0.574468085106383
"94",11,17,0.49438202247191
"95",12,17,0.539325842696629
"96",13,17,0.505747126436782
"97",14,17,0.477272727272727
"98",15,17,0.457142857142857
"99",16,17,0.543478260869565
