"","row","col","value"
"12",0,8,0.503703703703704
"23",0,9,0.521739130434783
"24",8,9,0.446153846153846
"34",0,10,0.505494505494505
"35",8,10,0.446153846153846
"36",9,10,0.513333333333333
"45",0,11,0.510948905109489
"46",8,11,0.481203007518797
"47",9,11,0.458781362007168
"48",10,11,0.480565371024735
"56",0,12,0.448669201520913
"57",8,12,0.44015444015444
"58",9,12,0.52
"59",10,12,0.534653465346535
"60",11,12,0.491228070175439
"67",0,13,0.516363636363636
"68",8,13,0.452107279693487
"69",9,13,0.5
"70",10,13,0.473498233215548
"71",11,13,0.469750889679715
"72",12,13,0.48951048951049
"78",0,14,0.510948905109489
"79",8,14,0.481203007518797
"80",9,14,0.466666666666667
"81",10,14,0.455223880597015
"82",11,14,0.413793103448276
"83",12,14,0.431818181818182
"84",13,14,0.472324723247232
"89",0,15,0.553191489361702
"90",8,15,0.458015267175573
"91",9,15,0.55663430420712
"92",10,15,0.516556291390728
"93",11,15,0.537414965986395
"94",12,15,0.52
"95",13,15,0.468085106382979
"96",14,15,0.505415162454874
"100",0,16,0.510948905109489
"101",8,16,0.452107279693487
"102",9,16,0.521739130434783
"103",10,16,0.45993031358885
"104",11,16,0.496503496503497
"105",12,16,0.470588235294118
"106",13,16,0.457142857142857
"107",14,16,0.437735849056604
"108",15,16,0.486301369863014
"111",0,17,0.550387596899225
"112",8,17,0.479674796747967
"113",9,17,0.479674796747967
"114",10,17,0.479674796747967
"115",11,17,0.48582995951417
"116",12,17,0.467213114754098
"117",13,17,0.421940928270042
"118",14,17,0.454545454545455
"119",15,17,0.473469387755102
"120",16,17,0.448132780082988
