"","row","col","value"
"16",3,4,0.470588235294118
"31",3,5,0.518518518518518
"32",4,5,0.450331125827815
"46",3,6,0.490322580645161
"47",4,6,0.490322580645161
"48",5,6,0.450331125827815
"61",3,7,0.315789473684211
"62",4,7,0.439024390243902
"63",5,7,0.372881355932203
"64",6,7,0.439024390243902
"76",3,8,0.493333333333333
"77",4,8,0.532467532467532
"78",5,8,0.503311258278146
"79",6,8,0.532467532467532
"80",7,8,0.511627906976744
"91",3,9,0.486486486486487
"92",4,9,0.316546762589928
"93",5,9,0.446808510638298
"94",6,9,0.316546762589928
"95",7,9,0.27027027027027
"96",8,9,0.37410071942446
"106",3,10,0.526315789473684
"107",4,10,0.460526315789474
"108",5,10,0.541666666666667
"109",6,10,0.470588235294118
"110",7,10,0.372881355932203
"111",8,10,0.513157894736842
"112",9,10,0.372093023255814
"121",3,11,0.56989247311828
"122",4,11,0.490322580645161
"123",5,11,0.530386740331492
"124",6,11,0.509554140127389
"125",7,11,0.372881355932203
"126",8,11,0.503311258278146
"127",9,11,0.407185628742515
"128",10,11,0.42603550295858
"136",3,12,0.574358974358974
"137",4,12,0.509554140127389
"138",5,12,0.559585492227979
"139",6,12,0.44
"140",7,12,0.413223140495868
"141",8,12,0.522875816993464
"142",9,12,0.420454545454545
"143",10,12,0.521276595744681
"144",11,12,0.530386740331492
"151",3,13,0.606965174129353
"152",4,13,0.429530201342282
"153",5,13,0.554455445544555
"154",6,13,0.470588235294118
"155",7,13,0.476190476190476
"156",8,13,0.513157894736842
"157",9,13,0.469387755102041
"158",10,13,0.526315789473684
"159",11,13,0.48
"160",12,13,0.472527472527473
"166",3,14,0.587628865979381
"167",4,14,0.528301886792453
"168",5,14,0.526881720430108
"169",6,14,0.5
"170",7,14,0.476190476190476
"171",8,14,0.532467532467532
"172",9,14,0.443181818181818
"173",10,14,0.494505494505495
"174",11,14,0.48
"175",12,14,0.502732240437158
"176",13,14,0.443181818181818
"181",3,15,0.613861386138614
"182",4,15,0.56441717791411
"183",5,15,0.568627450980392
"184",6,15,0.5375
"185",7,15,0.488188976377953
"186",8,15,0.541935483870968
"187",9,15,0.526315789473684
"188",10,15,0.518518518518518
"189",11,15,0.471264367816092
"190",12,15,0.521276595744681
"191",13,15,0.522167487684729
"192",14,15,0.434285714285714
"196",3,16,0.606965174129353
"197",4,16,0.546583850931677
"198",5,16,0.616113744075829
"199",6,16,0.5375
"200",7,16,0.451612903225806
"201",8,16,0.578616352201258
"202",9,16,0.555023923444976
"203",10,16,0.534031413612565
"204",11,16,0.48
"205",12,16,0.521276595744681
"206",13,16,0.543689320388349
"207",14,16,0.510869565217391
"208",15,16,0.451282051282051
"211",3,17,0.649214659685864
"212",4,17,0.631578947368421
"213",5,17,0.582417582417582
"214",6,17,0.615384615384615
"215",7,17,0.556390977443609
"216",8,17,0.63855421686747
"217",9,17,0.491228070175439
"218",10,17,0.534090909090909
"219",11,17,0.550561797752809
"220",12,17,0.550561797752809
"221",13,17,0.473372781065089
"222",14,17,0.473372781065089
"223",15,17,0.44578313253012
"224",16,17,0.417177914110429
